,"sidecar_injection_requests_total{app=""istiod"",install_operator_istio_io_owning_resource=""unknown"",instance=""10.224.123.29:15014"",istio=""istiod"",istio_io_rev=""asm-1-17"",job=""kubernetes-pods"",kubernetes_azure_com_managedby=""aks"",namespace=""aks-istio-system"",operator_istio_io_component=""Pilot"",pod=""istiod-asm-1-17-694d579568-t42vt"",pod_template_hash=""694d579568"",sidecar_istio_io_inject=""false""}"
2023-12-20 21:40:46,2758.0
2023-12-20 21:41:46,8130.0
2023-12-20 21:42:46,13624.0
2023-12-20 21:43:46,15008.0
2023-12-20 21:44:46,15008.0
2023-12-20 21:45:46,15008.0
2023-12-20 21:46:46,15008.0
2023-12-20 21:47:46,15008.0
2023-12-20 21:48:46,15008.0
2023-12-20 21:49:46,15008.0
2023-12-20 21:50:46,15008.0
2023-12-20 21:51:46,15008.0
2023-12-20 21:52:46,15008.0
2023-12-20 21:53:46,15008.0
2023-12-20 21:54:46,15008.0
2023-12-20 21:55:46,15008.0
2023-12-20 21:56:46,15008.0
2023-12-20 21:57:46,15008.0
2023-12-20 21:58:46,15008.0
2023-12-20 21:59:46,15008.0
2023-12-20 22:00:46,15008.0
2023-12-20 22:01:46,15008.0
2023-12-20 22:02:46,15008.0
2023-12-20 22:03:46,15008.0
2023-12-20 22:04:46,15008.0
2023-12-20 22:05:46,15008.0
2023-12-20 22:06:46,15008.0
2023-12-20 22:07:46,15008.0
2023-12-20 22:08:46,15008.0
