,"{container=""discovery""}"
2023-12-20 21:39:46,0.155181056
2023-12-20 21:40:46,0.91174912
2023-12-20 21:41:46,3.448971264
2023-12-20 21:42:46,6.411829248
2023-12-20 21:43:46,8.030547968
2023-12-20 21:44:46,8.942845952
2023-12-20 21:45:46,9.778573312
2023-12-20 21:46:46,10.920329216
2023-12-20 21:47:46,11.475099648
2023-12-20 21:48:46,12.27995136
2023-12-20 21:49:46,12.293922816
2023-12-20 21:50:46,13.401202688
2023-12-20 21:51:46,13.401468928
2023-12-20 21:52:46,13.27525888
2023-12-20 21:53:46,13.278429184
2023-12-20 21:54:46,13.283377152
2023-12-20 21:55:46,13.28304128
2023-12-20 21:56:46,13.285064704
2023-12-20 21:57:46,13.284872192
2023-12-20 21:58:46,13.285773312
2023-12-20 21:59:46,13.286363136
2023-12-20 22:00:46,13.28621568
2023-12-20 22:01:46,13.285699584
2023-12-20 22:02:46,13.28582656
2023-12-20 22:03:46,13.286006784
2023-12-20 22:04:46,13.286572032
2023-12-20 22:05:46,13.286428672
2023-12-20 22:06:46,13.28678912
2023-12-20 22:07:46,13.28652288
2023-12-20 22:08:46,13.286096896
