,"{container=""istio-proxy""}"
2023-12-20 21:40:46,0.056475648
2023-12-20 21:41:46,0.057253888
2023-12-20 21:42:46,0.057417728
2023-12-20 21:43:46,0.066084864
2023-12-20 21:44:46,0.0661504
2023-12-20 21:45:46,0.066166784
2023-12-20 21:46:46,0.066166784
2023-12-20 21:47:46,0.066166784
2023-12-20 21:48:46,0.06692864
2023-12-20 21:49:46,0.066957312
2023-12-20 21:50:46,0.066916352
2023-12-20 21:51:46,0.066916352
2023-12-20 21:52:46,0.066445312
2023-12-20 21:53:46,0.066441216
2023-12-20 21:54:46,0.067014656
2023-12-20 21:55:46,0.067018752
2023-12-20 21:56:46,0.067018752
2023-12-20 21:57:46,0.067076096
2023-12-20 21:58:46,0.067162112
2023-12-20 21:59:46,0.067186688
2023-12-20 22:00:46,0.066965504
2023-12-20 22:01:46,0.066973696
2023-12-20 22:02:46,0.066965504
2023-12-20 22:03:46,0.067067904
2023-12-20 22:04:46,0.068448256
2023-12-20 22:05:46,0.068190208
2023-12-20 22:06:46,0.0681984
2023-12-20 22:07:46,0.068231168
2023-12-20 22:08:46,0.068288512
