,"{namespace=""cluster-loader""}","{namespace=""test-gchg2q-1""}"
2023-12-20 21:40:46,6.0,432.0
2023-12-20 21:41:46,6.0,2576.0
2023-12-20 21:42:46,6.0,4544.0
2023-12-20 21:43:46,6.0,6522.0
2023-12-20 21:44:46,6.0,11198.0
2023-12-20 21:45:46,6.0,15780.0
2023-12-20 21:46:46,6.0,18758.0
2023-12-20 21:47:46,6.0,21820.0
2023-12-20 21:48:46,6.0,24768.0
2023-12-20 21:49:46,6.0,27768.0
2023-12-20 21:50:46,6.0,29998.0
2023-12-20 21:51:46,6.0,30000.0
2023-12-20 21:52:46,6.0,30000.0
2023-12-20 21:53:46,6.0,30000.0
2023-12-20 21:54:46,6.0,30000.0
2023-12-20 21:55:46,6.0,30000.0
2023-12-20 21:56:46,6.0,30000.0
2023-12-20 21:57:46,6.0,30000.0
2023-12-20 21:58:46,6.0,30000.0
2023-12-20 21:59:46,6.0,30000.0
2023-12-20 22:00:46,6.0,30000.0
2023-12-20 22:01:46,6.0,30000.0
2023-12-20 22:02:46,6.0,30000.0
2023-12-20 22:03:46,6.0,30000.0
2023-12-20 22:04:46,6.0,30000.0
2023-12-20 22:05:46,6.0,30000.0
2023-12-20 22:06:46,6.0,30000.0
2023-12-20 22:07:46,6.0,30000.0
2023-12-20 22:08:46,6.0,30000.0
