,"{namespace=""cluster-loader""}","{namespace=""test-gchg2q-1""}"
2023-12-20 21:40:46,36.0,7640.0
2023-12-20 21:41:46,36.0,52714.0
2023-12-20 21:42:46,48.0,123670.0
2023-12-20 21:43:46,48.0,183666.0
2023-12-20 21:44:46,60.0,262606.0
2023-12-20 21:45:46,72.0,344138.0
2023-12-20 21:46:46,72.0,384335.0
2023-12-20 21:47:46,72.0,419323.0
2023-12-20 21:48:46,72.0,448355.0
2023-12-20 21:49:46,72.0,472155.0
2023-12-20 21:50:46,72.0,486423.0
2023-12-20 21:51:46,72.0,486439.0
2023-12-20 21:52:46,72.0,486439.0
2023-12-20 21:53:46,72.0,486439.0
2023-12-20 21:54:46,72.0,486439.0
2023-12-20 21:55:46,72.0,486439.0
2023-12-20 21:56:46,72.0,486439.0
2023-12-20 21:57:46,72.0,486439.0
2023-12-20 21:58:46,72.0,486439.0
2023-12-20 21:59:46,72.0,486439.0
2023-12-20 22:00:46,72.0,486439.0
2023-12-20 22:01:46,72.0,486439.0
2023-12-20 22:02:46,72.0,486439.0
2023-12-20 22:03:46,72.0,486439.0
2023-12-20 22:04:46,72.0,486439.0
2023-12-20 22:05:46,72.0,486439.0
2023-12-20 22:06:46,72.0,486439.0
2023-12-20 22:07:46,72.0,486439.0
2023-12-20 22:08:46,80.0,487635.0
