,"sidecar_injection_requests_total{app=""istiod"",install_operator_istio_io_owning_resource=""unknown"",instance=""10.224.53.11:15014"",istio=""istiod"",istio_io_rev=""asm-1-17"",job=""kubernetes-pods"",kubernetes_azure_com_managedby=""aks"",namespace=""aks-istio-system"",operator_istio_io_component=""Pilot"",pod=""istiod-asm-1-17-646ff6ccb6-jpl8h"",pod_template_hash=""646ff6ccb6"",sidecar_istio_io_inject=""false""}"
2023-12-20 22:23:17,3004.0
2023-12-20 22:24:17,7780.0
2023-12-20 22:25:17,13659.0
2023-12-20 22:26:17,15009.0
2023-12-20 22:27:17,15009.0
2023-12-20 22:28:17,15009.0
2023-12-20 22:29:17,15009.0
2023-12-20 22:30:17,15009.0
2023-12-20 22:31:17,15009.0
2023-12-20 22:32:17,15009.0
2023-12-20 22:33:17,15009.0
2023-12-20 22:34:17,15009.0
2023-12-20 22:35:17,15009.0
2023-12-20 22:36:17,15009.0
2023-12-20 22:37:17,18642.0
2023-12-20 22:38:17,18762.0
2023-12-20 22:39:17,18762.0
2023-12-20 22:40:17,18762.0
2023-12-20 22:41:17,18762.0
2023-12-20 22:42:17,18762.0
2023-12-20 22:43:17,18762.0
2023-12-20 22:44:17,18762.0
2023-12-20 22:45:17,18762.0
2023-12-20 22:46:17,18762.0
2023-12-20 22:47:17,18762.0
2023-12-20 22:48:17,18762.0
2023-12-20 22:49:17,18762.0
2023-12-20 22:50:17,18762.0
2023-12-20 22:51:17,18762.0
2023-12-20 22:52:17,18762.0
2023-12-20 22:53:17,18762.0
2023-12-20 22:54:17,18762.0
