,"{container=""coredns""}"
2023-12-20 22:22:17,1.0
2023-12-20 22:23:17,1.0
2023-12-20 22:24:17,1.0
2023-12-20 22:25:17,1.0
2023-12-20 22:26:17,1.0
2023-12-20 22:27:17,1.0
2023-12-20 22:28:17,1.0
2023-12-20 22:29:17,1.0
2023-12-20 22:30:17,1.0
2023-12-20 22:31:17,1.0
2023-12-20 22:32:17,1.0
2023-12-20 22:33:17,1.0
2023-12-20 22:34:17,1.0
2023-12-20 22:35:17,1.0
2023-12-20 22:36:17,1.0
2023-12-20 22:37:17,1.0
2023-12-20 22:38:17,1.0
2023-12-20 22:39:17,1.0
2023-12-20 22:40:17,1.0
2023-12-20 22:41:17,1.0
2023-12-20 22:42:17,1.0
2023-12-20 22:43:17,1.0
2023-12-20 22:44:17,1.0
2023-12-20 22:45:17,1.0
2023-12-20 22:46:17,1.0
2023-12-20 22:47:17,1.0
2023-12-20 22:48:17,1.0
2023-12-20 22:49:17,1.0
2023-12-20 22:50:17,1.0
2023-12-20 22:51:17,1.0
2023-12-20 22:52:17,1.0
2023-12-20 22:53:17,1.0
2023-12-20 22:54:17,1.0
