,"{namespace=""test-aqpnx7-1""}"
2023-12-20 22:23:17,281.8597186809318
2023-12-20 22:24:17,11079.17860090415
2023-12-20 22:25:17,38180.424160673814
2023-12-20 22:26:17,82252.40190436087
2023-12-20 22:27:17,122549.82789002715
2023-12-20 22:28:17,151500.8157315532
2023-12-20 22:29:17,174351.2599203529
2023-12-20 22:30:17,190928.22585858344
2023-12-20 22:31:17,201654.312710997
2023-12-20 22:32:17,206369.24157301147
2023-12-20 22:33:17,205858.9106572092
2023-12-20 22:34:17,205113.74202679936
2023-12-20 22:35:17,204616.91155340616
2023-12-20 22:36:17,204445.51102950756
2023-12-20 22:37:17,204246.91343743508
2023-12-20 22:38:17,212650.2751445263
2023-12-20 22:39:17,214629.64541308765
2023-12-20 22:40:17,214008.60445457455
2023-12-20 22:41:17,213671.985776609
2023-12-20 22:42:17,213442.09098267075
2023-12-20 22:43:17,213268.06181015322
2023-12-20 22:44:17,213128.2832118574
2023-12-20 22:45:17,213011.7293718813
2023-12-20 22:46:17,212912.03285793593
2023-12-20 22:47:17,212825.17922194535
2023-12-20 22:48:17,212748.47264783987
2023-12-20 22:49:17,212679.99011514496
2023-12-20 22:50:17,212618.32162626996
2023-12-20 22:51:17,212562.39203349347
2023-12-20 22:52:17,212511.36050569595
2023-12-20 22:53:17,212464.56210335428
2023-12-20 22:54:17,212421.44927231094
