,"{namespace=""cluster-loader""}","{namespace=""test-aqpnx7-1""}"
2023-12-20 22:23:17,11.291733333333333,2670.3258641103566
2023-12-20 22:24:17,23.291733333333333,25427.46975953933
2023-12-20 22:25:17,35.29173333333333,68417.58432610647
2023-12-20 22:26:17,47.29173333333333,130456.59948737278
2023-12-20 22:27:17,59.29173333333333,190456.47552093357
2023-12-20 22:28:17,71.29173333333333,250456.6156435428
2023-12-20 22:29:17,83.29173333333333,310456.5906796894
2023-12-20 22:30:17,95.29173333333333,370456.62266558764
2023-12-20 22:31:17,107.29173333333335,430456.6225981741
2023-12-20 22:32:17,119.29173333333335,490456.6227333326
2023-12-20 22:33:17,131.29173333333335,550456.6140267845
2023-12-20 22:34:17,143.29173333333335,610456.6094817491
2023-12-20 22:35:17,155.29173333333335,670456.6127724984
2023-12-20 22:36:17,167.29173333333335,729604.078522244
2023-12-20 22:37:17,179.29173333333335,776239.3558612289
2023-12-20 22:38:17,191.29173333333335,839499.5360196928
2023-12-20 22:39:17,203.29173333333333,899499.5166409087
2023-12-20 22:40:17,215.29173333333335,959499.5355701452
2023-12-20 22:41:17,227.29173333333335,1019499.5355469736
2023-12-20 22:42:17,239.29173333333335,1079499.5356644501
2023-12-20 22:43:17,251.29173333333335,1139499.5354494343
2023-12-20 22:44:17,263.29173333333335,1199499.528243309
2023-12-20 22:45:17,275.29173333333335,1259499.5357083464
2023-12-20 22:46:17,287.29173333333335,1319499.53530102
2023-12-20 22:47:17,299.29173333333335,1379499.5124833398
2023-12-20 22:48:17,311.29173333333335,1439499.535697773
2023-12-20 22:49:17,323.29173333333335,1499499.5354260565
2023-12-20 22:50:17,335.29173333333335,1559499.5357598613
2023-12-20 22:51:17,347.29173333333335,1619499.5355554444
2023-12-20 22:52:17,359.29173333333335,1679499.5189807264
2023-12-20 22:53:17,371.29173333333335,1739499.5356200829
2023-12-20 22:54:17,383.29173333333335,1799499.5355520297
