,"{container=""discovery""}"
2023-12-20 22:22:17,0.154509312
2023-12-20 22:23:17,1.653743616
2023-12-20 22:24:17,3.602255872
2023-12-20 22:25:17,7.080443904
2023-12-20 22:26:17,8.562978816
2023-12-20 22:27:17,9.503182848
2023-12-20 22:28:17,10.53329408
2023-12-20 22:29:17,11.044814848
2023-12-20 22:30:17,11.587473408
2023-12-20 22:31:17,12.327665664
2023-12-20 22:32:17,13.423616
2023-12-20 22:33:17,13.426180096
2023-12-20 22:34:17,13.410103296
2023-12-20 22:35:17,13.313056768
2023-12-20 22:36:17,12.913934336
2023-12-20 22:37:17,16.381210624
2023-12-20 22:38:17,17.178935296
2023-12-20 22:39:17,17.507127296
2023-12-20 22:40:17,17.507385344
2023-12-20 22:41:17,15.301627904
2023-12-20 22:42:17,15.312891904
2023-12-20 22:43:17,15.397011456
2023-12-20 22:44:17,15.397142528
2023-12-20 22:45:17,15.400763392
2023-12-20 22:46:17,15.40098048
2023-12-20 22:47:17,15.405457408
2023-12-20 22:48:17,15.403696128
2023-12-20 22:49:17,15.40476928
2023-12-20 22:50:17,15.406583808
2023-12-20 22:51:17,15.418753024
2023-12-20 22:52:17,15.442989056
2023-12-20 22:53:17,15.537065984
2023-12-20 22:54:17,15.535116288
