,"{namespace=""cluster-loader""}","{namespace=""test-aqpnx7-1""}"
2023-12-20 22:23:17,6.0,1250.0
2023-12-20 22:24:17,6.0,3508.0
2023-12-20 22:25:17,6.0,5804.0
2023-12-20 22:26:17,6.0,7706.0
2023-12-20 22:27:17,6.0,13426.0
2023-12-20 22:28:17,6.0,16606.0
2023-12-20 22:29:17,6.0,19618.0
2023-12-20 22:30:17,6.0,22576.0
2023-12-20 22:31:17,6.0,25586.0
2023-12-20 22:32:17,6.0,28642.0
2023-12-20 22:33:17,6.0,30000.0
2023-12-20 22:34:17,6.0,30000.0
2023-12-20 22:35:17,6.0,30000.0
2023-12-20 22:36:17,6.0,27448.0
2023-12-20 22:37:17,6.0,23506.0
2023-12-20 22:38:17,6.0,27068.0
2023-12-20 22:39:17,6.0,29858.0
2023-12-20 22:40:17,6.0,30000.0
2023-12-20 22:41:17,6.0,30000.0
2023-12-20 22:42:17,6.0,30000.0
2023-12-20 22:43:17,6.0,30000.0
2023-12-20 22:44:17,6.0,30000.0
2023-12-20 22:45:17,6.0,30000.0
2023-12-20 22:46:17,6.0,30000.0
2023-12-20 22:47:17,6.0,30000.0
2023-12-20 22:48:17,6.0,30000.0
2023-12-20 22:49:17,6.0,30000.0
2023-12-20 22:50:17,6.0,30000.0
2023-12-20 22:51:17,6.0,30000.0
2023-12-20 22:52:17,6.0,30000.0
2023-12-20 22:53:17,6.0,30000.0
2023-12-20 22:54:17,6.0,30000.0
