,"{namespace=""cluster-loader""}","{namespace=""test-aqpnx7-1""}"
2023-12-20 22:23:17,36.0,17039.0
2023-12-20 22:24:17,36.0,63358.0
2023-12-20 22:25:17,48.0,136735.0
2023-12-20 22:26:17,48.0,198615.0
2023-12-20 22:27:17,64.0,297129.0
2023-12-20 22:28:17,72.0,356554.0
2023-12-20 22:29:17,72.0,396313.0
2023-12-20 22:30:17,72.0,430060.0
2023-12-20 22:31:17,72.0,458287.0
2023-12-20 22:32:17,72.0,481064.0
2023-12-20 22:33:17,72.0,489575.0
2023-12-20 22:34:17,72.0,489575.0
2023-12-20 22:35:17,72.0,489575.0
2023-12-20 22:36:17,72.0,436540.0
2023-12-20 22:37:17,72.0,360851.0
2023-12-20 22:38:17,84.0,443504.0
2023-12-20 22:39:17,84.0,462191.0
2023-12-20 22:40:17,84.0,463084.0
2023-12-20 22:41:17,84.0,463084.0
2023-12-20 22:42:17,84.0,463084.0
2023-12-20 22:43:17,84.0,463084.0
2023-12-20 22:44:17,84.0,463084.0
2023-12-20 22:45:17,84.0,463084.0
2023-12-20 22:46:17,84.0,463084.0
2023-12-20 22:47:17,84.0,463084.0
2023-12-20 22:48:17,84.0,463084.0
2023-12-20 22:49:17,84.0,463084.0
2023-12-20 22:50:17,84.0,463244.0
2023-12-20 22:51:17,92.0,465052.0
2023-12-20 22:52:17,92.0,468852.0
2023-12-20 22:53:17,92.0,474612.0
2023-12-20 22:54:17,92.0,482116.0
