,"sidecar_injection_requests_total{app=""istiod"",install_operator_istio_io_owning_resource=""unknown"",instance=""10.224.10.244:15014"",istio=""istiod"",istio_io_rev=""asm-1-17"",job=""kubernetes-pods"",kubernetes_azure_com_managedby=""aks"",namespace=""aks-istio-system"",operator_istio_io_component=""Pilot"",pod=""istiod-asm-1-17-7955878579-hcmqw"",pod_template_hash=""7955878579"",sidecar_istio_io_inject=""false""}"
2023-12-20 23:09:54,2758.0
2023-12-20 23:10:54,7759.0
2023-12-20 23:11:54,12463.0
2023-12-20 23:12:54,15013.0
2023-12-20 23:13:54,15013.0
2023-12-20 23:14:54,15013.0
2023-12-20 23:15:54,15013.0
2023-12-20 23:16:54,15013.0
2023-12-20 23:17:54,15013.0
2023-12-20 23:18:54,15013.0
2023-12-20 23:19:54,15013.0
2023-12-20 23:20:54,15013.0
2023-12-20 23:21:54,15013.0
2023-12-20 23:22:54,15013.0
2023-12-20 23:23:54,15986.0
2023-12-20 23:24:54,21054.0
2023-12-20 23:25:54,22519.0
2023-12-20 23:26:54,22519.0
2023-12-20 23:27:54,22519.0
2023-12-20 23:28:54,22519.0
2023-12-20 23:29:54,22519.0
2023-12-20 23:30:54,22519.0
2023-12-20 23:31:54,22519.0
2023-12-20 23:32:54,22519.0
2023-12-20 23:33:54,22519.0
2023-12-20 23:34:54,22519.0
2023-12-20 23:35:54,22519.0
2023-12-20 23:36:54,22519.0
2023-12-20 23:37:54,22519.0
2023-12-20 23:38:54,22519.0
2023-12-20 23:39:54,22519.0
2023-12-20 23:40:54,22519.0
2023-12-20 23:41:54,22519.0
2023-12-20 23:42:54,22519.0
2023-12-20 23:43:54,22519.0
