,"{namespace=""test-ylwngn-1""}"
2023-12-20 23:09:54,329.8403464850768
2023-12-20 23:10:54,13990.150443185497
2023-12-20 23:11:54,43058.16659550768
2023-12-20 23:12:54,84897.43389325745
2023-12-20 23:13:54,125486.8092595589
2023-12-20 23:14:54,154246.17321831247
2023-12-20 23:15:54,177170.04511543165
2023-12-20 23:16:54,193836.56196194887
2023-12-20 23:17:54,204584.8333613996
2023-12-20 23:18:54,209303.52552320337
2023-12-20 23:19:54,208867.87965272536
2023-12-20 23:20:54,208106.65273511258
2023-12-20 23:21:54,207607.34044895106
2023-12-20 23:22:54,207478.37905591814
2023-12-20 23:23:54,207097.01910122702
2023-12-20 23:24:54,213784.94379093443
2023-12-20 23:25:54,235411.4640475055
2023-12-20 23:26:54,248589.7155431739
2023-12-20 23:27:54,255961.08365317533
2023-12-20 23:28:54,257134.54402142172
2023-12-20 23:29:54,256382.0028993432
2023-12-20 23:30:54,255953.94256125003
2023-12-20 23:31:54,255639.61257345963
2023-12-20 23:32:54,255397.35893535285
2023-12-20 23:33:54,255203.92619454776
2023-12-20 23:34:54,255045.2641830674
2023-12-20 23:35:54,254912.32187248097
2023-12-20 23:36:54,254799.01666689312
2023-12-20 23:37:54,254701.08475398368
2023-12-20 23:38:54,254615.44275770138
2023-12-20 23:39:54,254539.80052360613
2023-12-20 23:40:54,254472.4259520309
2023-12-20 23:41:54,254411.96283554865
2023-12-20 23:42:54,254357.35816137661
2023-12-20 23:43:54,254307.75809867925
