,"{namespace=""cluster-loader""}","{namespace=""test-ylwngn-1""}"
2023-12-20 23:09:54,11.4446,2862.7271397564577
2023-12-20 23:10:54,23.444599999999998,28131.53425777282
2023-12-20 23:11:54,35.4446,71850.95272093103
2023-12-20 23:12:54,47.4446,132641.49906666685
2023-12-20 23:13:54,59.44460000000001,192655.01813237355
2023-12-20 23:14:54,71.44460000000001,252655.03973024775
2023-12-20 23:15:54,83.44460000000001,312655.0293619238
2023-12-20 23:16:54,95.4446,372653.9574710471
2023-12-20 23:17:54,107.4446,432654.78590137226
2023-12-20 23:18:54,119.4446,492654.97937460255
2023-12-20 23:19:54,131.44459999999998,552655.0125526936
2023-12-20 23:20:54,143.44459999999998,612655.0397999987
2023-12-20 23:21:54,155.44459999999998,672655.018583497
2023-12-20 23:22:54,167.44459999999998,731736.7406442721
2023-12-20 23:23:54,179.44439743656056,762937.8154502821
2023-12-20 23:24:54,191.44459999999998,809031.537100479
2023-12-20 23:25:54,203.44460000000004,871190.5872408195
2023-12-20 23:26:54,215.44460000000004,931190.5883899307
2023-12-20 23:27:54,227.44459999999998,991190.5720015853
2023-12-20 23:28:54,239.44459999999998,1051190.5883943902
2023-12-20 23:29:54,251.44459999999998,1111190.5880610081
2023-12-20 23:30:54,263.4446,1171190.588327511
2023-12-20 23:31:54,275.44460000000004,1231190.5883282975
2023-12-20 23:32:54,287.44460000000004,1291190.5782523218
2023-12-20 23:33:54,299.4446,1351190.5490691778
2023-12-20 23:34:54,311.4446,1411190.5883297287
2023-12-20 23:35:54,323.4446,1471190.5884655714
2023-12-20 23:36:54,335.4446,1531190.5880596028
2023-12-20 23:37:54,347.4446,1591190.5883981343
2023-12-20 23:38:54,359.44460000000004,1651190.582527507
2023-12-20 23:39:54,371.44460000000004,1711190.560843068
2023-12-20 23:40:54,383.44460000000004,1771190.588398467
2023-12-20 23:41:54,395.4445999999999,1831190.567047882
2023-12-20 23:42:54,407.44460000000004,1891190.5884659803
2023-12-20 23:43:54,419.44460000000004,1951190.5883987038
