,"{container=""istio-proxy""}"
2023-12-20 23:09:54,0.052781056
2023-12-20 23:10:54,0.05746688
2023-12-20 23:11:54,0.06320128
2023-12-20 23:12:54,0.063279104
2023-12-20 23:13:54,0.065716224
2023-12-20 23:14:54,0.065728512
2023-12-20 23:15:54,0.065736704
2023-12-20 23:16:54,0.065736704
2023-12-20 23:17:54,0.065748992
2023-12-20 23:18:54,0.065957888
2023-12-20 23:19:54,0.065994752
2023-12-20 23:20:54,0.066895872
2023-12-20 23:21:54,0.066752512
2023-12-20 23:22:54,0.066752512
2023-12-20 23:23:54,0.066752512
2023-12-20 23:24:54,0.066752512
2023-12-20 23:25:54,0.066752512
2023-12-20 23:26:54,0.066752512
2023-12-20 23:27:54,0.066871296
2023-12-20 23:28:54,0.066883584
2023-12-20 23:29:54,0.066482176
2023-12-20 23:30:54,0.066609152
2023-12-20 23:31:54,0.066752512
2023-12-20 23:32:54,0.066633728
2023-12-20 23:33:54,0.066387968
2023-12-20 23:34:54,0.066367488
2023-12-20 23:35:54,0.066551808
2023-12-20 23:36:54,0.066490368
2023-12-20 23:37:54,0.066555904
2023-12-20 23:38:54,0.067002368
2023-12-20 23:39:54,0.067244032
2023-12-20 23:40:54,0.06774784
2023-12-20 23:41:54,0.06672384
2023-12-20 23:42:54,0.066879488
2023-12-20 23:43:54,0.066699264
