,"{namespace=""cluster-loader""}","{namespace=""test-ylwngn-1""}"
2023-12-20 23:09:54,6.0,1120.0
2023-12-20 23:10:54,6.0,3306.0
2023-12-20 23:11:54,6.0,5518.0
2023-12-20 23:12:54,6.0,7926.0
2023-12-20 23:13:54,6.0,13400.0
2023-12-20 23:14:54,6.0,16582.0
2023-12-20 23:15:54,6.0,19570.0
2023-12-20 23:16:54,6.0,22572.0
2023-12-20 23:17:54,6.0,25590.0
2023-12-20 23:18:54,6.0,28574.0
2023-12-20 23:19:54,6.0,30000.0
2023-12-20 23:20:54,6.0,30000.0
2023-12-20 23:21:54,6.0,30000.0
2023-12-20 23:22:54,6.0,27086.0
2023-12-20 23:23:54,6.0,15222.0
2023-12-20 23:24:54,6.0,17242.0
2023-12-20 23:25:54,6.0,20706.0
2023-12-20 23:26:54,6.0,24424.0
2023-12-20 23:27:54,6.0,27428.0
2023-12-20 23:28:54,6.0,29956.0
2023-12-20 23:29:54,6.0,30000.0
2023-12-20 23:30:54,6.0,30000.0
2023-12-20 23:31:54,6.0,30000.0
2023-12-20 23:32:54,6.0,30000.0
2023-12-20 23:33:54,6.0,30000.0
2023-12-20 23:34:54,6.0,30000.0
2023-12-20 23:35:54,6.0,30000.0
2023-12-20 23:36:54,6.0,30000.0
2023-12-20 23:37:54,6.0,30000.0
2023-12-20 23:38:54,6.0,30000.0
2023-12-20 23:39:54,6.0,30000.0
2023-12-20 23:40:54,6.0,30000.0
2023-12-20 23:41:54,6.0,30000.0
2023-12-20 23:42:54,6.0,30000.0
2023-12-20 23:43:54,6.0,30000.0
