,"{namespace=""cluster-loader""}","{namespace=""test-ylwngn-1""}"
2023-12-20 23:09:54,36.0,17419.0
2023-12-20 23:10:54,48.0,68210.0
2023-12-20 23:11:54,56.0,134648.0
2023-12-20 23:12:54,60.0,203402.0
2023-12-20 23:13:54,76.0,301600.0
2023-12-20 23:14:54,84.0,362798.0
2023-12-20 23:15:54,84.0,401664.0
2023-12-20 23:16:54,84.0,435221.0
2023-12-20 23:17:54,84.0,463336.0
2023-12-20 23:18:54,84.0,485630.0
2023-12-20 23:19:54,84.0,494533.0
2023-12-20 23:20:54,84.0,494533.0
2023-12-20 23:21:54,84.0,494533.0
2023-12-20 23:22:54,84.0,435769.0
2023-12-20 23:23:54,84.0,227634.0
2023-12-20 23:24:54,84.0,270830.0
2023-12-20 23:25:54,96.0,358272.0
2023-12-20 23:26:54,108.0,429314.0
2023-12-20 23:27:54,108.0,453828.0
2023-12-20 23:28:54,108.0,470392.0
2023-12-20 23:29:54,108.0,470655.0
2023-12-20 23:30:54,108.0,470655.0
2023-12-20 23:31:54,108.0,470655.0
2023-12-20 23:32:54,108.0,470655.0
2023-12-20 23:33:54,108.0,470655.0
2023-12-20 23:34:54,108.0,470655.0
2023-12-20 23:35:54,108.0,470655.0
2023-12-20 23:36:54,108.0,470767.0
2023-12-20 23:37:54,116.0,472271.0
2023-12-20 23:38:54,124.0,475399.0
2023-12-20 23:39:54,124.0,480047.0
2023-12-20 23:40:54,124.0,486139.0
2023-12-20 23:41:54,132.0,493667.0
2023-12-20 23:42:54,132.0,501359.0
2023-12-20 23:43:54,132.0,508783.0
