,"sidecar_injection_requests_total{app=""istiod"",install_operator_istio_io_owning_resource=""unknown"",instance=""10.224.121.250:15014"",istio=""istiod"",istio_io_rev=""asm-1-17"",job=""kubernetes-pods"",kubernetes_azure_com_managedby=""aks"",namespace=""aks-istio-system"",operator_istio_io_component=""Pilot"",pod=""istiod-asm-1-17-78bf59fd65-dbzqc"",pod_template_hash=""78bf59fd65"",sidecar_istio_io_inject=""false""}"
2023-12-21 00:03:23,3.0
2023-12-21 00:04:23,3.0
2023-12-21 00:05:23,2425.0
2023-12-21 00:06:23,4449.0
2023-12-21 00:07:23,6359.0
2023-12-21 00:08:23,8129.0
2023-12-21 00:09:23,9750.0
2023-12-21 00:10:23,11414.0
2023-12-21 00:11:23,12705.0
2023-12-21 00:12:23,14238.0
2023-12-21 00:13:23,15003.0
2023-12-21 00:14:23,15003.0
2023-12-21 00:15:23,15003.0
2023-12-21 00:16:23,15003.0
2023-12-21 00:17:23,15003.0
2023-12-21 00:18:23,15003.0
2023-12-21 00:19:23,15003.0
2023-12-21 00:20:23,15003.0
2023-12-21 00:21:23,15003.0
2023-12-21 00:22:23,15003.0
2023-12-21 00:23:23,15003.0
2023-12-21 00:24:23,15003.0
2023-12-21 00:25:23,15003.0
2023-12-21 00:26:23,15003.0
2023-12-21 00:27:23,15003.0
2023-12-21 00:28:23,15003.0
2023-12-21 00:29:23,15003.0
2023-12-21 00:30:23,15003.0
