,{}
2023-12-21 00:03:23,3.0
2023-12-21 00:04:23,3.0
2023-12-21 00:05:23,2261.0
2023-12-21 00:06:23,4249.0
2023-12-21 00:07:23,6135.0
2023-12-21 00:08:23,7883.0
2023-12-21 00:09:23,9560.0
2023-12-21 00:10:23,11276.0
2023-12-21 00:11:23,12449.0
2023-12-21 00:12:23,14029.0
2023-12-21 00:13:23,15000.0
2023-12-21 00:14:23,15003.0
2023-12-21 00:15:23,15003.0
2023-12-21 00:16:23,15003.0
2023-12-21 00:17:23,15003.0
2023-12-21 00:18:23,15003.0
2023-12-21 00:19:23,15003.0
2023-12-21 00:20:23,15003.0
2023-12-21 00:21:23,15003.0
2023-12-21 00:22:23,15003.0
2023-12-21 00:23:23,15003.0
2023-12-21 00:24:23,15003.0
2023-12-21 00:25:23,15003.0
2023-12-21 00:26:23,15003.0
2023-12-21 00:27:23,15003.0
2023-12-21 00:28:23,15003.0
2023-12-21 00:29:23,15003.0
2023-12-21 00:30:23,15003.0
