,"{container=""istio-proxy""}"
2023-12-21 00:03:23,1.0
2023-12-21 00:04:23,1.0
2023-12-21 00:05:23,1.0
2023-12-21 00:06:23,1.0
2023-12-21 00:07:23,1.0
2023-12-21 00:08:23,1.0
2023-12-21 00:09:23,1.0
2023-12-21 00:10:23,1.0
2023-12-21 00:11:23,1.0
2023-12-21 00:12:23,1.0
2023-12-21 00:13:23,1.0
2023-12-21 00:14:23,1.0
2023-12-21 00:15:23,1.0
2023-12-21 00:16:23,1.0
2023-12-21 00:17:23,1.0
2023-12-21 00:18:23,1.0
2023-12-21 00:19:23,1.0
2023-12-21 00:20:23,1.0
2023-12-21 00:21:23,1.0
2023-12-21 00:22:23,1.0
2023-12-21 00:23:23,1.0
2023-12-21 00:24:23,1.0
2023-12-21 00:25:23,1.0
2023-12-21 00:26:23,1.0
2023-12-21 00:27:23,1.0
2023-12-21 00:28:23,1.0
2023-12-21 00:29:23,1.0
2023-12-21 00:30:23,1.0
