,"{namespace=""test-s14amp-1""}"
2023-12-21 00:05:23,1566.0270126349399
2023-12-21 00:06:23,6226.870416538105
2023-12-21 00:07:23,13165.009566058226
2023-12-21 00:08:23,21132.494458782632
2023-12-21 00:09:23,31412.302266728777
2023-12-21 00:10:23,42581.70986689349
2023-12-21 00:11:23,53972.54593614421
2023-12-21 00:12:23,65078.79382681781
2023-12-21 00:13:23,76493.02458800693
2023-12-21 00:14:23,83755.3329843568
2023-12-21 00:15:23,84115.47650462696
2023-12-21 00:16:23,83446.54076357486
2023-12-21 00:17:23,83050.0762894432
2023-12-21 00:18:23,82757.56883879285
2023-12-21 00:19:23,82530.71956919863
2023-12-21 00:20:23,82348.67807781222
2023-12-21 00:21:23,82198.86401967703
2023-12-21 00:22:23,82073.14623051234
2023-12-21 00:23:23,81965.98532650336
2023-12-21 00:24:23,81873.45780607416
2023-12-21 00:25:23,81792.69527681074
2023-12-21 00:26:23,81721.54675995646
2023-12-21 00:27:23,81658.3638705078
2023-12-21 00:28:23,81601.86014912142
2023-12-21 00:29:23,81551.01550336544
2023-12-21 00:30:23,81505.0104540192
