,"{namespace=""cluster-loader""}","{namespace=""test-s14amp-1""}"
2023-12-21 00:03:23,10.635266666666666,
2023-12-21 00:04:23,22.635266666666666,
2023-12-21 00:05:23,34.635266666666666,6081.442104302753
2023-12-21 00:06:23,46.635266666666666,21335.02822383614
2023-12-21 00:07:23,58.635266666666666,44432.04134276082
2023-12-21 00:08:23,70.63526666666667,73281.39965085899
2023-12-21 00:09:23,82.63526666666667,110828.84820018294
2023-12-21 00:10:23,94.63526666666667,154094.23884182045
2023-12-21 00:11:23,106.63526666666667,202726.3627360747
2023-12-21 00:12:23,118.63526666666668,256665.9966246155
2023-12-21 00:13:23,130.63526666666667,316352.6808895828
2023-12-21 00:14:23,142.63526666666667,376569.3135343891
2023-12-21 00:15:23,154.63526666666667,436569.31360244437
2023-12-21 00:16:23,166.63526666666667,496569.313602067
2023-12-21 00:17:23,178.63526666666667,556569.3135342912
2023-12-21 00:18:23,190.63526666666667,616569.2861895221
2023-12-21 00:19:23,202.63526666666667,676569.2850499499
2023-12-21 00:20:23,214.63526666666667,736569.3135337865
2023-12-21 00:21:23,226.63526666666664,796569.3134668873
2023-12-21 00:22:23,238.63526666666667,856569.3136010703
2023-12-21 00:23:23,250.63526666666664,916569.3127875647
2023-12-21 00:24:23,262.63526666666667,976569.3136681375
2023-12-21 00:25:23,274.63526666666667,1036569.3134667113
2023-12-21 00:26:23,286.63526666666667,1096569.3132656314
2023-12-21 00:27:23,298.63526666666667,1156569.3135338093
2023-12-21 00:28:23,310.63526666666667,1216569.313600721
2023-12-21 00:29:23,322.63526666666667,1276569.3123865256
2023-12-21 00:30:23,334.63526666666667,1336569.3136007972
