,"{container=""coredns""}"
2023-12-21 00:02:23,0.045674496
2023-12-21 00:03:23,0.045559808
2023-12-21 00:04:23,0.047804416
2023-12-21 00:05:23,0.049508352
2023-12-21 00:06:23,0.050487296
2023-12-21 00:07:23,0.052682752
2023-12-21 00:08:23,0.053878784
2023-12-21 00:09:23,0.055087104
2023-12-21 00:10:23,0.055205888
2023-12-21 00:11:23,0.0572416
2023-12-21 00:12:23,0.05838848
2023-12-21 00:13:23,0.06144
2023-12-21 00:14:23,0.062713856
2023-12-21 00:15:23,0.064765952
2023-12-21 00:16:23,0.065564672
2023-12-21 00:17:23,0.0657408
2023-12-21 00:18:23,0.066322432
2023-12-21 00:19:23,0.066797568
2023-12-21 00:20:23,0.066666496
2023-12-21 00:21:23,0.06864896
2023-12-21 00:22:23,0.066781184
2023-12-21 00:23:23,0.067596288
2023-12-21 00:24:23,0.066555904
2023-12-21 00:25:23,0.068227072
2023-12-21 00:26:23,0.068624384
2023-12-21 00:27:23,0.067080192
2023-12-21 00:28:23,0.06680576
2023-12-21 00:29:23,0.068476928
2023-12-21 00:30:23,0.068096
