,"{namespace=""cluster-loader""}","{namespace=""test-s14amp-1""}"
2023-12-21 00:03:23,358.0,
2023-12-21 00:04:23,946.0,
2023-12-21 00:05:23,1057.0,23458.0
2023-12-21 00:06:23,1062.0,49306.0
2023-12-21 00:07:23,1070.0,75973.0
2023-12-21 00:08:23,1070.0,102432.0
2023-12-21 00:09:23,1070.0,129642.0
2023-12-21 00:10:23,1070.0,157343.0
2023-12-21 00:11:23,1070.0,182802.0
2023-12-21 00:12:23,1070.0,208932.0
2023-12-21 00:13:23,1074.0,232949.0
2023-12-21 00:14:23,1074.0,250418.0
2023-12-21 00:15:23,1074.0,261719.0
2023-12-21 00:16:23,1082.0,268773.0
2023-12-21 00:17:23,1082.0,274923.0
2023-12-21 00:18:23,1082.0,279878.0
2023-12-21 00:19:23,1082.0,284988.0
2023-12-21 00:20:23,1082.0,290223.0
2023-12-21 00:21:23,1082.0,294877.0
2023-12-21 00:22:23,1082.0,299263.0
2023-12-21 00:23:23,1082.0,303636.0
2023-12-21 00:24:23,1082.0,307999.0
2023-12-21 00:25:23,1082.0,312274.0
2023-12-21 00:26:23,1087.0,317015.0
2023-12-21 00:27:23,1087.0,321851.0
2023-12-21 00:28:23,1087.0,326555.0
2023-12-21 00:29:23,1087.0,331352.0
2023-12-21 00:30:23,1087.0,336100.0
