,"{namespace=""cluster-loader""}","{namespace=""test-s14amp-1""}"
2023-12-21 00:03:23,260.10450000000003,
2023-12-21 00:04:23,705.9173888888889,
2023-12-21 00:05:23,758.6216866666668,5005.890219498305
2023-12-21 00:06:23,745.548442857143,9795.321878051696
2023-12-21 00:07:23,744.2643296296296,15090.397731874096
2023-12-21 00:08:23,738.0344515151515,19314.26335167551
2023-12-21 00:09:23,733.7214589743589,25008.416061164688
2023-12-21 00:10:23,730.5585977777778,29968.791112039493
2023-12-21 00:11:23,728.1399392156864,35083.28972790193
2023-12-21 00:12:23,721.5857350877193,39600.27780583509
2023-12-21 00:13:23,723.8504587301587,45163.87857683922
2023-12-21 00:14:23,722.2982449275363,51533.26916968527
2023-12-21 00:15:23,720.9943853333333,56445.58033938541
2023-12-21 00:16:23,728.0147962962963,61686.33808365819
2023-12-21 00:17:23,727.0482586206897,66664.56310515551
2023-12-21 00:18:23,726.206435483871,70803.53789459488
2023-12-21 00:19:23,725.4666515151515,74758.42191917174
2023-12-21 00:20:23,724.8114142857144,78854.65791561945
2023-12-21 00:21:23,724.2270135135135,82565.2302005983
2023-12-21 00:22:23,723.7025512820512,86016.9307364055
2023-12-21 00:23:23,723.2292560975609,89472.57944954037
2023-12-21 00:24:23,722.799988372093,92902.05624010645
2023-12-21 00:25:23,722.4088777777779,96291.36872249846
2023-12-21 00:26:23,726.1091524822696,100074.28204025366
2023-12-21 00:27:23,725.7781666666667,103917.07760570824
2023-12-21 00:28:23,725.4731405228758,107692.44864543033
2023-12-21 00:29:23,725.1911352201258,111500.13930771194
2023-12-21 00:30:23,724.9296393939394,115249.98520546732
