,"sidecar_injection_requests_total{app=""istiod"",install_operator_istio_io_owning_resource=""unknown"",instance=""10.241.24.106:15014"",istio=""istiod"",istio_io_rev=""asm-1-17"",job=""kubernetes-pods"",kubernetes_azure_com_managedby=""aks"",namespace=""aks-istio-system"",operator_istio_io_component=""Pilot"",pod=""istiod-asm-1-17-766c548495-528pr"",pod_template_hash=""766c548495"",sidecar_istio_io_inject=""false""}"
2023-12-21 16:56:55,1958.0
2023-12-21 16:57:55,5676.0
2023-12-21 16:58:55,9816.0
2023-12-21 16:59:55,10006.0
2023-12-21 17:00:55,10006.0
2023-12-21 17:01:55,10006.0
2023-12-21 17:02:55,10006.0
2023-12-21 17:03:55,10006.0
2023-12-21 17:04:55,10006.0
2023-12-21 17:05:55,10006.0
2023-12-21 17:06:55,10006.0
2023-12-21 17:07:55,10006.0
2023-12-21 17:08:55,10006.0
2023-12-21 17:09:55,10006.0
2023-12-21 17:10:55,10006.0
2023-12-21 17:11:55,10006.0
2023-12-21 17:12:55,10006.0
2023-12-21 17:13:55,10006.0
2023-12-21 17:14:55,10006.0
2023-12-21 17:15:55,10006.0
2023-12-21 17:16:55,10006.0
2023-12-21 17:17:55,10006.0
2023-12-21 17:18:55,10006.0
2023-12-21 17:19:55,10006.0
2023-12-21 17:20:55,10006.0
2023-12-21 17:21:55,10006.0
