,"{resource=""apiServerIPInfo""}","{resource=""clusterrolebindings.rbac.authorization.k8s.io""}","{resource=""clusterroles.rbac.authorization.k8s.io""}","{resource=""configmaps""}","{resource=""daemonsets.apps""}","{resource=""deployments.apps""}","{resource=""endpoints""}","{resource=""events""}","{resource=""mutatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""namespaces""}","{resource=""nodes""}","{resource=""poddisruptionbudgets.policy""}","{resource=""pods""}","{resource=""replicasets.apps""}","{resource=""secrets""}","{resource=""services""}","{resource=""validatingwebhookconfigurations.admissionregistration.k8s.io""}"
2023-12-21 16:55:55,0.1111111111111111,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.15555555555555553,,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.26666666666666666,
2023-12-21 16:56:55,0.1111111111111111,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.3777777777777777,,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.04444444444444444,
2023-12-21 16:57:55,0.08888888888888888,,,,,,,,0.06666666666666667,,,,,,,,0.06666666666666667
2023-12-21 16:58:55,0.1111111111111111,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 16:59:55,0.1111111111111111,,,,,,,,,,,,,,0.17777777777777776,,
2023-12-21 17:00:55,0.1111111111111111,1.5777777777777777,,,,,,,,,,,,,,,
2023-12-21 17:01:55,0.1111111111111111,,1.8666666666666667,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 17:02:55,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,,0.06666666666666667
2023-12-21 17:03:55,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 17:04:55,0.1111111111111111,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 17:05:55,0.1111111111111111,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.04444444444444444,
2023-12-21 17:06:55,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 17:07:55,0.1111111111111111,,,,,0.2222222222222222,,,0.06666666666666667,,,,,,,0.26666666666666666,0.06666666666666667
2023-12-21 17:08:55,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 17:09:55,0.1111111111111111,,,,,,,707.0222222222221,,,11.2,,,,0.17777777777777776,,
2023-12-21 17:10:55,0.1111111111111111,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 17:11:55,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 17:12:55,0.1111111111111111,3.1555555555555554,1.8666666666666667,,,,,,0.06666666666666667,,,,,,,,0.06666666666666667
2023-12-21 17:13:55,0.1111111111111111,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 17:14:55,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 17:15:55,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 17:16:55,0.1111111111111111,,1.8666666666666667,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.31111111111111106,
2023-12-21 17:17:55,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,,0.06666666666666667
2023-12-21 17:18:55,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 17:19:55,0.1111111111111111,1.5777777777777777,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 17:20:55,0.1111111111111111,,,,,,,,,,,,,,,,
2023-12-21 17:21:55,0.1111111111111111,,1.8666666666666667,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.04444444444444444,
