,"{namespace=""cluster-loader""}","{namespace=""test-b1r1ac-1""}"
2023-12-21 16:56:55,9.285,40.09051436379391
2023-12-21 16:57:55,21.285000000000004,16091.713599222228
2023-12-21 16:58:55,33.285,47122.67846073673
2023-12-21 16:59:55,45.285,89163.52578633101
2023-12-21 17:00:55,57.285,129163.34786580202
2023-12-21 17:01:55,69.285,169163.5115099625
2023-12-21 17:02:55,81.285,209163.48563683304
2023-12-21 17:03:55,93.285,249163.52776653753
2023-12-21 17:04:55,105.28500000000001,289163.56033086084
2023-12-21 17:05:55,117.28500000000001,329163.56026328413
2023-12-21 17:06:55,129.285,369163.56046666676
2023-12-21 17:07:55,141.28500000000003,409163.5603991228
2023-12-21 17:08:55,153.285,449163.56039921066
2023-12-21 17:09:55,165.28500000000003,489163.56046666636
2023-12-21 17:10:55,177.28500000000003,529163.5603315724
2023-12-21 17:11:55,189.28500000000003,569163.560399392
2023-12-21 17:12:55,201.28500000000003,609163.5602649751
2023-12-21 17:13:55,213.28499999999997,649163.5603999052
2023-12-21 17:14:55,225.28499999999997,689163.560399508
2023-12-21 17:15:55,237.28499999999997,729163.5604666692
2023-12-21 17:16:55,249.28500000000003,769163.5602650421
2023-12-21 17:17:55,261.28499999999997,809163.5604666686
2023-12-21 17:18:55,273.28499999999997,849163.5603996064
2023-12-21 17:19:55,285.28499999999997,889163.5604666683
2023-12-21 17:20:55,297.28499999999997,929163.5604666686
2023-12-21 17:21:55,309.28499999999997,969163.5602653893
