,"{namespace=""cluster-loader""}","{namespace=""test-b1r1ac-1""}"
2023-12-21 16:56:55,6.0,422.0
2023-12-21 16:57:55,6.0,2970.0
2023-12-21 16:58:55,6.0,5596.0
2023-12-21 16:59:55,6.0,9144.0
2023-12-21 17:00:55,6.0,12478.0
2023-12-21 17:01:55,6.0,15344.0
2023-12-21 17:02:55,6.0,18224.0
2023-12-21 17:03:55,6.0,20000.0
2023-12-21 17:04:55,6.0,20000.0
2023-12-21 17:05:55,6.0,20000.0
2023-12-21 17:06:55,6.0,20000.0
2023-12-21 17:07:55,6.0,20000.0
2023-12-21 17:08:55,6.0,20000.0
2023-12-21 17:09:55,6.0,20000.0
2023-12-21 17:10:55,6.0,20000.0
2023-12-21 17:11:55,6.0,20000.0
2023-12-21 17:12:55,6.0,20000.0
2023-12-21 17:13:55,6.0,20000.0
2023-12-21 17:14:55,6.0,20000.0
2023-12-21 17:15:55,6.0,20000.0
2023-12-21 17:16:55,6.0,20000.0
2023-12-21 17:17:55,6.0,20000.0
2023-12-21 17:18:55,6.0,20000.0
2023-12-21 17:19:55,6.0,20000.0
2023-12-21 17:20:55,6.0,20000.0
2023-12-21 17:21:55,6.0,20000.0
