,"{namespace=""cluster-loader""}","{namespace=""test-b1r1ac-1""}"
2023-12-21 16:56:55,215.0,10298.0
2023-12-21 16:57:55,316.0,62582.0
2023-12-21 16:58:55,325.0,111430.0
2023-12-21 16:59:55,333.0,159173.0
2023-12-21 17:00:55,337.0,193188.0
2023-12-21 17:01:55,341.0,219223.0
2023-12-21 17:02:55,341.0,238082.0
2023-12-21 17:03:55,341.0,246647.0
2023-12-21 17:04:55,343.0,248672.0
2023-12-21 17:05:55,343.0,250672.0
2023-12-21 17:06:55,344.0,252622.0
2023-12-21 17:07:55,344.0,254485.0
2023-12-21 17:08:55,344.0,256161.0
2023-12-21 17:09:55,344.0,257989.0
2023-12-21 17:10:55,345.0,259716.0
2023-12-21 17:11:55,346.0,261509.0
2023-12-21 17:12:55,346.0,263328.0
2023-12-21 17:13:55,346.0,264845.0
2023-12-21 17:14:55,347.0,266202.0
2023-12-21 17:15:55,347.0,267648.0
2023-12-21 17:16:55,347.0,269203.0
2023-12-21 17:17:55,347.0,270705.0
2023-12-21 17:18:55,347.0,272116.0
2023-12-21 17:19:55,348.0,273509.0
2023-12-21 17:20:55,349.0,274804.0
2023-12-21 17:21:55,349.0,275981.0
