,"{namespace=""cluster-loader""}","{namespace=""test-b1r1ac-1""}"
2023-12-21 16:56:55,237.9452666666667,791.584441218423
2023-12-21 16:57:55,302.4984888888889,20862.424063020735
2023-12-21 16:58:55,300.19070814814813,24517.902473674258
2023-12-21 16:59:55,294.6526153846154,34717.9533317376
2023-12-21 17:00:55,294.5895093681917,41886.29642122925
2023-12-21 17:01:55,296.10283174603177,47892.35307287316
2023-12-21 17:02:55,294.21188102564105,53538.57135510005
2023-12-21 17:03:55,292.83211157088124,56739.80383284652
2023-12-21 17:04:55,293.8297464052288,57830.60069546406
2023-12-21 17:05:55,292.99703783783787,59487.41466956095
2023-12-21 17:06:55,293.35185187766166,61218.12762275111
2023-12-21 17:07:55,292.7948035426731,62922.569087153
2023-12-21 17:08:55,292.32759091156464,64474.16541068261
2023-12-21 17:09:55,291.93010207314234,66209.1896081175
2023-12-21 17:10:55,292.60273615648316,67842.88518157696
2023-12-21 17:11:55,293.316764216464,69558.56977638927
2023-12-21 17:12:55,293.05361351981355,71313.43196515534
2023-12-21 17:13:55,292.82070429261563,72771.06320214563
2023-12-21 17:14:55,293.6284992225102,74074.40962041741
2023-12-21 17:15:55,293.4414997002997,75474.96084720893
2023-12-21 17:16:55,293.2728307136405,76992.03008920782
2023-12-21 17:17:55,293.11992284541725,78460.56878881561
2023-12-21 17:18:55,292.9806654681648,79838.68201480404
2023-12-21 17:19:55,293.86251722717907,81199.84911299348
2023-12-21 17:20:55,294.7533419454379,82464.66325286946
2023-12-21 17:21:55,294.6449629457063,83613.15491177655
