,"sidecar_injection_requests_total{app=""istiod"",install_operator_istio_io_owning_resource=""unknown"",instance=""10.241.94.94:15014"",istio=""istiod"",istio_io_rev=""asm-1-17"",job=""kubernetes-pods"",kubernetes_azure_com_managedby=""aks"",namespace=""aks-istio-system"",operator_istio_io_component=""Pilot"",pod=""istiod-asm-1-17-7bd58cd5f9-h95dn"",pod_template_hash=""7bd58cd5f9"",sidecar_istio_io_inject=""false""}"
2023-12-21 17:34:19,3001.0
2023-12-21 17:35:19,6885.0
2023-12-21 17:36:19,10009.0
2023-12-21 17:37:19,10009.0
2023-12-21 17:38:19,10009.0
2023-12-21 17:39:19,10009.0
2023-12-21 17:40:19,10009.0
2023-12-21 17:41:19,10009.0
2023-12-21 17:42:19,10009.0
2023-12-21 17:43:19,10009.0
2023-12-21 17:44:19,10009.0
2023-12-21 17:45:19,12509.0
2023-12-21 17:46:19,12509.0
2023-12-21 17:47:19,12509.0
2023-12-21 17:48:19,12509.0
2023-12-21 17:49:19,12509.0
2023-12-21 17:50:19,12509.0
2023-12-21 17:51:19,12509.0
2023-12-21 17:52:19,12509.0
2023-12-21 17:53:19,12509.0
2023-12-21 17:54:19,12509.0
2023-12-21 17:55:19,12509.0
2023-12-21 17:56:19,12509.0
2023-12-21 17:57:19,12509.0
2023-12-21 17:58:19,12509.0
2023-12-21 17:59:19,12509.0
2023-12-21 18:00:19,12509.0
2023-12-21 18:01:19,12509.0
2023-12-21 18:02:19,12509.0
