,"{namespace=""test-i7hyhr-1""}"
2023-12-21 17:34:19,201.58033544848809
2023-12-21 17:35:19,10092.533576251675
2023-12-21 17:36:19,29831.86246542891
2023-12-21 17:37:19,53077.87511846646
2023-12-21 17:38:19,68760.029678175
2023-12-21 17:39:19,78510.31168540423
2023-12-21 17:40:19,82278.92590658397
2023-12-21 17:41:19,81608.15653485485
2023-12-21 17:42:19,81111.67234714472
2023-12-21 17:43:19,80750.5463553936
2023-12-21 17:44:19,80516.80753683703
2023-12-21 17:45:19,80775.98574254519
2023-12-21 17:46:19,87384.62294896015
2023-12-21 17:47:19,88576.41341978029
2023-12-21 17:48:19,88141.05431839603
2023-12-21 17:49:19,87918.11716814924
2023-12-21 17:50:19,87769.7996986015
2023-12-21 17:51:19,87660.66687280974
2023-12-21 17:52:19,87575.34884952949
2023-12-21 17:53:19,87505.94513358241
2023-12-21 17:54:19,87447.89012693951
2023-12-21 17:55:19,87398.3176864519
2023-12-21 17:56:19,87355.31821789354
2023-12-21 17:57:19,87317.5467131831
2023-12-21 17:58:19,87284.03282150473
2023-12-21 17:59:19,87254.038998423
2023-12-21 18:00:19,87227.00589352468
2023-12-21 18:01:19,87202.48535883438
2023-12-21 18:02:19,87180.13190097228
