,"{namespace=""cluster-loader""}","{namespace=""test-i7hyhr-1""}"
2023-12-21 17:34:19,10.778865431275829,1978.8712731149728
2023-12-21 17:35:19,22.779200000000003,22685.565148496433
2023-12-21 17:36:19,34.7792,57863.46691300859
2023-12-21 17:37:19,46.7792,99269.45854169755
2023-12-21 17:38:19,58.7792,139269.42189724033
2023-12-21 17:39:19,70.7792,179269.38429701616
2023-12-21 17:40:19,82.77919999999999,219269.46297517486
2023-12-21 17:41:19,94.7792,259269.47378342773
2023-12-21 17:42:19,106.7792,299269.4740735356
2023-12-21 17:43:19,118.7792,339269.49773808615
2023-12-21 17:44:19,130.7792,375089.0651572702
2023-12-21 17:45:19,142.7792,407809.3169841617
2023-12-21 17:46:19,154.7792,449612.7296476814
2023-12-21 17:47:19,166.7792,489612.8422037623
2023-12-21 17:48:19,178.7792,529612.8385173526
2023-12-21 17:49:19,190.7792,569612.8534027343
2023-12-21 17:50:19,202.7792,609612.8386870592
2023-12-21 17:51:19,214.7792,649612.8533376866
2023-12-21 17:52:19,226.7792,689612.8441287143
2023-12-21 17:53:19,238.7792,729612.8472638818
2023-12-21 17:54:19,250.7792,769612.8532252423
2023-12-21 17:55:19,262.7792,809612.8399523787
2023-12-21 17:56:19,274.7792,849612.8532088532
2023-12-21 17:57:19,286.7792,889612.831061772
2023-12-21 17:58:19,298.7792,929612.8519311788
2023-12-21 17:59:19,310.7792,969612.8352492787
2023-12-21 18:00:19,322.7792,1009612.8529875663
2023-12-21 18:01:19,334.7792,1049612.8098237007
2023-12-21 18:02:19,346.7792,1089612.8531825107
