,"{namespace=""cluster-loader""}","{namespace=""test-i7hyhr-1""}"
2023-12-21 17:34:19,6.0,1184.0
2023-12-21 17:35:19,6.0,3708.0
2023-12-21 17:36:19,6.0,6340.0
2023-12-21 17:37:19,6.0,10312.0
2023-12-21 17:38:19,6.0,13268.0
2023-12-21 17:39:19,6.0,16158.0
2023-12-21 17:40:19,6.0,19072.0
2023-12-21 17:41:19,6.0,20000.0
2023-12-21 17:42:19,6.0,20000.0
2023-12-21 17:43:19,6.0,20000.0
2023-12-21 17:44:19,6.0,15000.0
2023-12-21 17:45:19,6.0,15634.0
2023-12-21 17:46:19,6.0,17848.0
2023-12-21 17:47:19,6.0,20000.0
2023-12-21 17:48:19,6.0,20000.0
2023-12-21 17:49:19,6.0,20000.0
2023-12-21 17:50:19,6.0,20000.0
2023-12-21 17:51:19,6.0,20000.0
2023-12-21 17:52:19,6.0,20000.0
2023-12-21 17:53:19,6.0,20000.0
2023-12-21 17:54:19,6.0,20000.0
2023-12-21 17:55:19,6.0,20000.0
2023-12-21 17:56:19,6.0,20000.0
2023-12-21 17:57:19,6.0,20000.0
2023-12-21 17:58:19,6.0,20000.0
2023-12-21 17:59:19,6.0,20000.0
2023-12-21 18:00:19,6.0,20000.0
2023-12-21 18:01:19,6.0,20000.0
2023-12-21 18:02:19,6.0,20000.0
