,"{namespace=""cluster-loader""}","{namespace=""test-i7hyhr-1""}"
2023-12-21 17:34:19,179.0,21528.0
2023-12-21 17:35:19,195.0,62617.0
2023-12-21 17:36:19,207.0,113717.0
2023-12-21 17:37:19,207.0,157304.0
2023-12-21 17:38:19,219.0,188641.0
2023-12-21 17:39:19,219.0,212561.0
2023-12-21 17:40:19,219.0,230131.0
2023-12-21 17:41:19,219.0,237344.0
2023-12-21 17:42:19,220.0,239018.0
2023-12-21 17:43:19,222.0,240550.0
2023-12-21 17:44:19,222.0,174615.0
2023-12-21 17:45:19,222.0,189038.0
2023-12-21 17:46:19,222.0,203506.0
2023-12-21 17:47:19,222.0,209682.0
2023-12-21 17:48:19,222.0,211219.0
2023-12-21 17:49:19,222.0,212805.0
2023-12-21 17:50:19,223.0,214350.0
2023-12-21 17:51:19,225.0,215720.0
2023-12-21 17:52:19,225.0,217111.0
2023-12-21 17:53:19,225.0,218376.0
2023-12-21 17:54:19,225.0,219563.0
2023-12-21 17:55:19,225.0,220797.0
2023-12-21 17:56:19,225.0,222204.0
2023-12-21 17:57:19,225.0,223708.0
2023-12-21 17:58:19,225.0,225183.0
2023-12-21 17:59:19,227.0,226566.0
2023-12-21 18:00:19,228.0,227898.0
2023-12-21 18:01:19,228.0,229431.0
2023-12-21 18:02:19,233.0,231966.0
