,"sidecar_injection_requests_total{app=""istiod"",install_operator_istio_io_owning_resource=""unknown"",instance=""10.241.36.187:15014"",istio=""istiod"",istio_io_rev=""asm-1-17"",job=""kubernetes-pods"",kubernetes_azure_com_managedby=""aks"",namespace=""aks-istio-system"",operator_istio_io_component=""Pilot"",pod=""istiod-asm-1-17-576bc9c7c5-l9vtc"",pod_template_hash=""576bc9c7c5"",sidecar_istio_io_inject=""false""}"
2023-12-21 18:15:30,2503.0
2023-12-21 18:16:30,6140.0
2023-12-21 18:17:30,10006.0
2023-12-21 18:18:30,10006.0
2023-12-21 18:19:30,10006.0
2023-12-21 18:20:30,10006.0
2023-12-21 18:21:30,10006.0
2023-12-21 18:22:30,10006.0
2023-12-21 18:23:30,10006.0
2023-12-21 18:24:30,10006.0
2023-12-21 18:25:30,10006.0
2023-12-21 18:26:30,11826.0
2023-12-21 18:27:30,15009.0
2023-12-21 18:28:30,15009.0
2023-12-21 18:29:30,15009.0
2023-12-21 18:30:30,15009.0
2023-12-21 18:31:30,15009.0
2023-12-21 18:32:30,15009.0
2023-12-21 18:33:30,15009.0
2023-12-21 18:34:30,15009.0
2023-12-21 18:35:30,15009.0
2023-12-21 18:36:30,15009.0
2023-12-21 18:37:30,15009.0
2023-12-21 18:38:30,15009.0
2023-12-21 18:39:30,15009.0
2023-12-21 18:40:30,15009.0
2023-12-21 18:41:30,15009.0
2023-12-21 18:42:30,15009.0
2023-12-21 18:43:30,15009.0
2023-12-21 18:44:30,15009.0
2023-12-21 18:45:30,15009.0
