,"{namespace=""test-xm9fkt-1""}"
2023-12-21 18:15:30,208.07506675195913
2023-12-21 18:16:30,7445.009450228994
2023-12-21 18:17:30,23523.27475086075
2023-12-21 18:18:30,45832.42827355652
2023-12-21 18:19:30,61559.082991508294
2023-12-21 18:20:30,71237.04132020293
2023-12-21 18:21:30,74837.13956356359
2023-12-21 18:22:30,74122.23134515202
2023-12-21 18:23:30,73648.87248369504
2023-12-21 18:24:30,73307.38888834236
2023-12-21 18:25:30,73115.31913016444
2023-12-21 18:26:30,73032.4862634163
2023-12-21 18:27:30,79268.13683899754
2023-12-21 18:28:30,92842.65484659064
2023-12-21 18:29:30,99296.49284333354
2023-12-21 18:30:30,99889.17011955864
2023-12-21 18:31:30,99364.9301200844
2023-12-21 18:32:30,99060.85841314106
2023-12-21 18:33:30,98850.07218003905
2023-12-21 18:34:30,98694.33843213001
2023-12-21 18:35:30,98573.99992393971
2023-12-21 18:36:30,98477.86536201782
2023-12-21 18:37:30,98399.07497486907
2023-12-21 18:38:30,98333.17487947363
2023-12-21 18:39:30,98277.13958811917
2023-12-21 18:40:30,98228.83948470949
2023-12-21 18:41:30,98186.7251176056
2023-12-21 18:42:30,98149.64385575164
2023-12-21 18:43:30,98116.71760040837
2023-12-21 18:44:30,98087.26430385436
2023-12-21 18:45:30,98060.74876401
