,"{container=""discovery""}"
2023-12-21 18:14:30,0.1528832
2023-12-21 18:15:30,1.705955328
2023-12-21 18:16:30,3.794300928
2023-12-21 18:17:30,6.211489792
2023-12-21 18:18:30,7.315161088
2023-12-21 18:19:30,8.48263168
2023-12-21 18:20:30,9.584504832
2023-12-21 18:21:30,10.49450496
2023-12-21 18:22:30,11.179790336
2023-12-21 18:23:30,11.227754496
2023-12-21 18:24:30,11.233742848
2023-12-21 18:25:30,11.200032768
2023-12-21 18:26:30,11.230277632
2023-12-21 18:27:30,13.233106944
2023-12-21 18:28:30,13.783097344
2023-12-21 18:29:30,14.7805184
2023-12-21 18:30:30,15.2406016
2023-12-21 18:31:30,15.29942016
2023-12-21 18:32:30,15.299837952
2023-12-21 18:33:30,15.300890624
2023-12-21 18:34:30,15.234482176
2023-12-21 18:35:30,15.23820544
2023-12-21 18:36:30,15.237578752
2023-12-21 18:37:30,15.25456896
2023-12-21 18:38:30,15.254388736
2023-12-21 18:39:30,15.253999616
2023-12-21 18:40:30,15.25803008
2023-12-21 18:41:30,15.258861568
2023-12-21 18:42:30,15.259660288
2023-12-21 18:43:30,15.276580864
2023-12-21 18:44:30,15.282876416
2023-12-21 18:45:30,15.28195072
