,"{namespace=""cluster-loader""}","{namespace=""test-xm9fkt-1""}"
2023-12-21 18:15:30,6.0,1402.0
2023-12-21 18:16:30,6.0,4196.0
2023-12-21 18:17:30,6.0,6760.0
2023-12-21 18:18:30,6.0,10384.0
2023-12-21 18:19:30,6.0,13316.0
2023-12-21 18:20:30,6.0,16288.0
2023-12-21 18:21:30,6.0,19162.0
2023-12-21 18:22:30,6.0,20000.0
2023-12-21 18:23:30,6.0,20000.0
2023-12-21 18:24:30,6.0,20000.0
2023-12-21 18:25:30,6.0,13734.0
2023-12-21 18:26:30,6.0,10224.0
2023-12-21 18:27:30,6.0,12064.0
2023-12-21 18:28:30,6.0,14920.0
2023-12-21 18:29:30,6.0,17882.0
2023-12-21 18:30:30,6.0,20000.0
2023-12-21 18:31:30,6.0,20000.0
2023-12-21 18:32:30,6.0,20000.0
2023-12-21 18:33:30,6.0,20000.0
2023-12-21 18:34:30,6.0,20000.0
2023-12-21 18:35:30,6.0,20000.0
2023-12-21 18:36:30,6.0,20000.0
2023-12-21 18:37:30,6.0,20000.0
2023-12-21 18:38:30,6.0,20000.0
2023-12-21 18:39:30,6.0,20000.0
2023-12-21 18:40:30,6.0,20000.0
2023-12-21 18:41:30,6.0,20000.0
2023-12-21 18:42:30,6.0,20000.0
2023-12-21 18:43:30,6.0,20000.0
2023-12-21 18:44:30,6.0,20000.0
2023-12-21 18:45:30,4.0,20000.0
