,"{namespace=""cluster-loader""}","{namespace=""test-xm9fkt-1""}"
2023-12-21 18:15:30,202.0,22281.0
2023-12-21 18:16:30,217.0,61840.0
2023-12-21 18:17:30,220.0,106721.0
2023-12-21 18:18:30,222.0,148968.0
2023-12-21 18:19:30,226.0,181421.0
2023-12-21 18:20:30,230.0,206568.0
2023-12-21 18:21:30,234.0,224310.0
2023-12-21 18:22:30,234.0,229648.0
2023-12-21 18:23:30,235.0,231958.0
2023-12-21 18:24:30,235.0,234027.0
2023-12-21 18:25:30,236.0,155516.0
2023-12-21 18:26:30,237.0,120484.0
2023-12-21 18:27:30,237.0,154274.0
2023-12-21 18:28:30,237.0,175517.0
2023-12-21 18:29:30,237.0,189953.0
2023-12-21 18:30:30,237.0,197988.0
2023-12-21 18:31:30,241.0,204439.0
2023-12-21 18:32:30,245.0,210888.0
2023-12-21 18:33:30,249.0,217062.0
2023-12-21 18:34:30,249.0,222911.0
2023-12-21 18:35:30,249.0,224668.0
2023-12-21 18:36:30,249.0,226127.0
2023-12-21 18:37:30,250.0,227892.0
2023-12-21 18:38:30,250.0,229681.0
2023-12-21 18:39:30,251.0,231412.0
2023-12-21 18:40:30,252.0,233030.0
2023-12-21 18:41:30,252.0,234445.0
2023-12-21 18:42:30,252.0,235877.0
2023-12-21 18:43:30,260.0,238508.0
2023-12-21 18:44:30,265.0,242303.0
2023-12-21 18:45:30,176.0,246889.0
