,"{namespace=""cluster-loader""}","{namespace=""test-xm9fkt-1""}"
2023-12-21 18:15:30,205.99653333333333,5355.574854057823
2023-12-21 18:16:30,179.02012222222226,11274.23465929339
2023-12-21 18:17:30,167.60412666666667,14353.968128947632
2023-12-21 18:18:30,164.75622380952382,20147.427027058104
2023-12-21 18:19:30,166.11587777777777,27764.542591397145
2023-12-21 18:20:30,168.48502727272728,34279.383584084484
2023-12-21 18:21:30,171.3949717948718,39902.54617889302
2023-12-21 18:22:30,170.40897555555557,42368.68156138863
2023-12-21 18:23:30,170.6807039215686,44242.01774772373
2023-12-21 18:24:30,170.0827350877193,46099.96198032954
2023-12-21 18:25:30,170.62595555555555,47929.91915136103
2023-12-21 18:26:30,171.25412608695652,49616.37996932543
2023-12-21 18:27:30,170.913796,53412.86072467625
2023-12-21 18:28:30,170.6238851851852,58932.72386682655
2023-12-21 18:29:30,170.3739620689655,64146.225634018185
2023-12-21 18:30:30,170.15628709677418,69401.85108238127
2023-12-21 18:31:30,174.01800707070709,75193.52593489079
2023-12-21 18:32:30,177.91104666666664,81413.46339298568
2023-12-21 18:33:30,181.82935045045042,87531.03795495827
2023-12-21 18:34:30,181.68425555555555,93400.56995733628
2023-12-21 18:35:30,181.5533162601626,95052.783096986
2023-12-21 18:36:30,181.4345573643411,96424.54245867932
2023-12-21 18:37:30,182.33607333333333,98106.50185132428
2023-12-21 18:38:30,182.2366659574468,99820.63233590718
2023-12-21 18:39:30,183.1570693877551,101488.70575166526
2023-12-21 18:40:30,184.08620065359477,103053.71958405878
2023-12-21 18:41:30,184.00747610062894,104425.81627822234
2023-12-21 18:42:30,183.93447696969696,105760.32070216663
2023-12-21 18:43:30,187.91571169590642,107562.2864669296
2023-12-21 18:44:30,188.85818474576268,109840.82422959046
2023-12-21 18:45:30,191.8768072393081,112530.65572633786
