,"sidecar_injection_requests_total{app=""istiod"",install_operator_istio_io_owning_resource=""unknown"",instance=""10.241.24.139:15014"",istio=""istiod"",istio_io_rev=""asm-1-17"",job=""kubernetes-pods"",kubernetes_azure_com_managedby=""aks"",namespace=""aks-istio-system"",operator_istio_io_component=""Pilot"",pod=""istiod-asm-1-17-74677759-sl2vr"",pod_template_hash=""74677759"",sidecar_istio_io_inject=""false""}"
2023-12-21 18:59:45,2695.0
2023-12-21 19:00:45,6768.0
2023-12-21 19:01:45,11140.0
2023-12-21 19:02:45,14885.0
2023-12-21 19:03:45,15009.0
2023-12-21 19:04:45,15009.0
2023-12-21 19:05:45,15009.0
2023-12-21 19:06:45,15009.0
2023-12-21 19:07:45,15009.0
2023-12-21 19:08:45,15009.0
2023-12-21 19:09:45,15009.0
2023-12-21 19:10:45,15009.0
2023-12-21 19:11:45,15009.0
2023-12-21 19:12:45,15009.0
2023-12-21 19:13:45,15009.0
2023-12-21 19:14:45,15009.0
2023-12-21 19:15:45,15009.0
2023-12-21 19:16:45,15009.0
2023-12-21 19:17:45,15009.0
2023-12-21 19:18:45,15009.0
2023-12-21 19:19:45,15009.0
2023-12-21 19:20:45,15009.0
2023-12-21 19:21:45,15009.0
2023-12-21 19:22:45,15009.0
2023-12-21 19:23:45,15009.0
2023-12-21 19:24:45,15009.0
2023-12-21 19:25:45,15009.0
2023-12-21 19:26:45,15009.0
2023-12-21 19:27:45,15009.0
