,"{namespace=""test-pjyolv-1""}"
2023-12-21 18:59:45,244.0062333333334
2023-12-21 19:00:45,10060.107348965104
2023-12-21 19:01:45,30210.171335768766
2023-12-21 19:02:45,62588.18293492714
2023-12-21 19:03:45,101379.06093522786
2023-12-21 19:04:45,131771.13569962076
2023-12-21 19:05:45,155537.95031058803
2023-12-21 19:06:45,173140.39789573918
2023-12-21 19:07:45,185156.5360645308
2023-12-21 19:08:45,191506.30033326216
2023-12-21 19:09:45,192092.62121725013
2023-12-21 19:10:45,191191.23947160874
2023-12-21 19:11:45,190693.15610231145
2023-12-21 19:12:45,190285.28063679923
2023-12-21 19:13:45,189944.97405246276
2023-12-21 19:14:45,189656.73067013078
2023-12-21 19:15:45,189409.30185958024
2023-12-21 19:16:45,189194.57811575595
2023-12-21 19:17:45,189006.45087374802
2023-12-21 19:18:45,188840.24907527136
2023-12-21 19:19:45,188692.33847820212
2023-12-21 19:20:45,188559.84732848356
2023-12-21 19:21:45,188440.48017663736
2023-12-21 19:22:45,188332.37100817592
2023-12-21 19:23:45,188233.99886737796
2023-12-21 19:24:45,188144.09853082852
2023-12-21 19:25:45,188061.62308201214
2023-12-21 19:26:45,187985.68433745884
2023-12-21 19:27:45,187915.53458543195
