,"{namespace=""cluster-loader""}","{namespace=""test-pjyolv-1""}"
2023-12-21 18:59:45,11.427733333333334,2315.4284221312046
2023-12-21 19:00:45,23.427733333333336,22377.34334576039
2023-12-21 19:01:45,35.42773333333333,58996.42378598905
2023-12-21 19:02:45,47.427733333333336,110785.60931843705
2023-12-21 19:03:45,59.427733333333336,172705.06008085218
2023-12-21 19:04:45,71.42773333333334,232706.1762235976
2023-12-21 19:05:45,83.42773333333334,292706.63222268265
2023-12-21 19:06:45,95.42773333333335,352706.7239100874
2023-12-21 19:07:45,107.42773333333334,412706.7752140389
2023-12-21 19:08:45,119.42773333333334,472706.8384654289
2023-12-21 19:09:45,131.42773333333332,532706.8478824692
2023-12-21 19:10:45,143.42773333333332,592706.6422206487
2023-12-21 19:11:45,155.42773333333332,652706.8524678961
2023-12-21 19:12:45,167.42773333333332,712706.8492624778
2023-12-21 19:13:45,179.42773333333332,772706.7076901259
2023-12-21 19:14:45,191.42773333333335,832706.8527867871
2023-12-21 19:15:45,203.42773333333332,892706.8527829085
2023-12-21 19:16:45,215.42773333333332,952706.852779558
2023-12-21 19:17:45,227.42773333333332,1012706.8527766336
2023-12-21 19:18:45,239.42773333333332,1072706.852774057
2023-12-21 19:19:45,251.42773333333332,1132706.8527717784
2023-12-21 19:20:45,263.4277333333333,1192706.8464582216
2023-12-21 19:21:45,275.4277333333333,1252706.8527679013
2023-12-21 19:22:45,287.4277333333333,1312706.8439658158
2023-12-21 19:23:45,299.4277333333333,1372706.8527647357
2023-12-21 19:24:45,311.4277333333333,1432706.8439227333
2023-12-21 19:25:45,323.4277333333333,1492706.852762102
2023-12-21 19:26:45,335.4277333333333,1552706.852760943
2023-12-21 19:27:45,347.4277333333333,1612706.852759874
