,"{container=""coredns""}"
2023-12-21 18:58:45,0.085950464
2023-12-21 18:59:45,0.089120768
2023-12-21 19:00:45,0.092168192
2023-12-21 19:01:45,0.093073408
2023-12-21 19:02:45,0.094261248
2023-12-21 19:03:45,0.095592448
2023-12-21 19:04:45,0.09723904
2023-12-21 19:05:45,0.099045376
2023-12-21 19:06:45,0.100376576
2023-12-21 19:07:45,0.098172928
2023-12-21 19:08:45,0.100225024
2023-12-21 19:09:45,0.103186432
2023-12-21 19:10:45,0.102854656
2023-12-21 19:11:45,0.103006208
2023-12-21 19:12:45,0.103981056
2023-12-21 19:13:45,0.102752256
2023-12-21 19:14:45,0.103620608
2023-12-21 19:15:45,0.100929536
2023-12-21 19:16:45,0.10305536
2023-12-21 19:17:45,0.103940096
2023-12-21 19:18:45,0.102539264
2023-12-21 19:19:45,0.103391232
2023-12-21 19:20:45,0.10237952
2023-12-21 19:21:45,0.103079936
2023-12-21 19:22:45,0.102744064
2023-12-21 19:23:45,0.10016768
2023-12-21 19:24:45,0.100982784
2023-12-21 19:25:45,0.103600128
2023-12-21 19:26:45,0.103329792
2023-12-21 19:27:45,0.103022592
