,"{container=""istio-proxy""}"
2023-12-21 18:59:45,0.057827328
2023-12-21 19:00:45,0.060510208
2023-12-21 19:01:45,0.063500288
2023-12-21 19:02:45,0.063553536
2023-12-21 19:03:45,0.064155648
2023-12-21 19:04:45,0.066482176
2023-12-21 19:05:45,0.070447104
2023-12-21 19:06:45,0.070447104
2023-12-21 19:07:45,0.072466432
2023-12-21 19:08:45,0.074043392
2023-12-21 19:09:45,0.074092544
2023-12-21 19:10:45,0.081088512
2023-12-21 19:11:45,0.081461248
2023-12-21 19:12:45,0.089505792
2023-12-21 19:13:45,0.090693632
2023-12-21 19:14:45,0.092766208
2023-12-21 19:15:45,0.09263104
2023-12-21 19:16:45,0.092643328
2023-12-21 19:17:45,0.096821248
2023-12-21 19:18:45,0.096821248
2023-12-21 19:19:45,0.096825344
2023-12-21 19:20:45,0.096219136
2023-12-21 19:21:45,0.09531392
2023-12-21 19:22:45,0.100900864
2023-12-21 19:23:45,0.103030784
2023-12-21 19:24:45,0.102838272
2023-12-21 19:25:45,0.10285056
2023-12-21 19:26:45,0.101363712
2023-12-21 19:27:45,0.1078272
