,"{namespace=""cluster-loader""}","{namespace=""test-pjyolv-1""}"
2023-12-21 18:59:45,6.0,1256.0
2023-12-21 19:00:45,6.0,3888.0
2023-12-21 19:01:45,6.0,6230.0
2023-12-21 19:02:45,6.0,8566.0
2023-12-21 19:03:45,6.0,12154.0
2023-12-21 19:04:45,6.0,16256.0
2023-12-21 19:05:45,6.0,19204.0
2023-12-21 19:06:45,6.0,22104.0
2023-12-21 19:07:45,6.0,24850.0
2023-12-21 19:08:45,6.0,27800.0
2023-12-21 19:09:45,6.0,30000.0
2023-12-21 19:10:45,6.0,30000.0
2023-12-21 19:11:45,6.0,30000.0
2023-12-21 19:12:45,6.0,30000.0
2023-12-21 19:13:45,6.0,30000.0
2023-12-21 19:14:45,6.0,30000.0
2023-12-21 19:15:45,6.0,30000.0
2023-12-21 19:16:45,6.0,30000.0
2023-12-21 19:17:45,6.0,30000.0
2023-12-21 19:18:45,6.0,30000.0
2023-12-21 19:19:45,6.0,30000.0
2023-12-21 19:20:45,6.0,30000.0
2023-12-21 19:21:45,6.0,30000.0
2023-12-21 19:22:45,6.0,30000.0
2023-12-21 19:23:45,6.0,30000.0
2023-12-21 19:24:45,6.0,30000.0
2023-12-21 19:25:45,6.0,30000.0
2023-12-21 19:26:45,6.0,30000.0
2023-12-21 19:27:45,6.0,30000.0
