,"{namespace=""cluster-loader""}","{namespace=""test-pjyolv-1""}"
2023-12-21 18:59:45,191.0,22039.0
2023-12-21 19:00:45,207.0,65653.0
2023-12-21 19:01:45,216.0,119620.0
2023-12-21 19:02:45,220.0,179932.0
2023-12-21 19:03:45,224.0,237337.0
2023-12-21 19:04:45,225.0,282868.0
2023-12-21 19:05:45,228.0,320409.0
2023-12-21 19:06:45,232.0,351478.0
2023-12-21 19:07:45,232.0,375305.0
2023-12-21 19:08:45,232.0,393593.0
2023-12-21 19:09:45,232.0,404413.0
2023-12-21 19:10:45,236.0,410752.0
2023-12-21 19:11:45,236.0,414374.0
2023-12-21 19:12:45,236.0,415986.0
2023-12-21 19:13:45,237.0,417600.0
2023-12-21 19:14:45,237.0,419180.0
2023-12-21 19:15:45,237.0,420619.0
2023-12-21 19:16:45,238.0,422057.0
2023-12-21 19:17:45,238.0,423351.0
2023-12-21 19:18:45,238.0,424756.0
2023-12-21 19:19:45,238.0,426151.0
2023-12-21 19:20:45,238.0,427464.0
2023-12-21 19:21:45,238.0,428850.0
2023-12-21 19:22:45,238.0,430182.0
2023-12-21 19:23:45,239.0,431544.0
2023-12-21 19:24:45,239.0,432739.0
2023-12-21 19:25:45,239.0,433993.0
2023-12-21 19:26:45,239.0,435412.0
2023-12-21 19:27:45,255.0,437696.0
