,"{container=""discovery""}"
2023-12-21 07:24:56,1.0
2023-12-21 07:25:56,6.0
2023-12-21 07:26:56,11.0
2023-12-21 07:27:56,12.0
2023-12-21 07:28:56,13.0
2023-12-21 07:29:56,10.0
2023-12-21 07:30:56,7.0
2023-12-21 07:31:56,6.0
2023-12-21 07:32:56,6.0
2023-12-21 07:33:56,5.0
2023-12-21 07:34:56,2.0
2023-12-21 07:35:56,4.0
2023-12-21 07:36:56,8.0
2023-12-21 07:37:56,7.0
2023-12-21 07:38:56,7.0
2023-12-21 07:39:56,6.0
2023-12-21 07:40:56,6.0
2023-12-21 07:41:56,5.0
2023-12-21 07:42:56,5.0
2023-12-21 07:43:56,3.0
2023-12-21 07:44:56,4.0
2023-12-21 07:45:56,3.0
2023-12-21 07:46:56,3.0
2023-12-21 07:47:56,3.0
2023-12-21 07:48:56,3.0
2023-12-21 07:49:56,3.0
2023-12-21 07:50:56,3.0
2023-12-21 07:51:56,3.0
2023-12-21 07:52:56,3.0
2023-12-21 07:53:56,3.0
2023-12-21 07:54:56,2.0
2023-12-21 07:55:56,3.0
2023-12-21 07:56:56,3.0
2023-12-21 07:57:56,2.0
2023-12-21 07:58:56,3.0
2023-12-21 07:59:56,3.0
2023-12-21 08:00:56,3.0
2023-12-21 08:01:56,3.0
2023-12-21 08:02:56,3.0
2023-12-21 08:03:56,3.0
2023-12-21 08:04:56,3.0
2023-12-21 08:05:56,3.0
2023-12-21 08:06:56,3.0
2023-12-21 08:07:56,4.0
2023-12-21 08:08:56,4.0
2023-12-21 08:09:56,4.0
2023-12-21 08:10:56,4.0
2023-12-21 08:11:56,4.0
2023-12-21 08:12:56,3.0
2023-12-21 08:13:56,4.0
2023-12-21 08:14:56,3.0
2023-12-21 08:15:56,2.0
2023-12-21 08:16:56,3.0
2023-12-21 08:17:56,3.0
2023-12-21 08:18:56,3.0
2023-12-21 08:19:56,3.0
2023-12-21 08:20:56,3.0
2023-12-21 08:21:56,3.0
2023-12-21 08:22:56,3.0
2023-12-21 08:23:56,3.0
2023-12-21 08:24:56,3.0
2023-12-21 08:25:56,3.0
2023-12-21 08:26:56,2.0
2023-12-21 08:27:56,3.0
