,"{namespace=""test-kxkpym-1""}"
2023-12-21 07:25:56,147.71539555783514
2023-12-21 07:26:56,9049.432382388453
2023-12-21 07:27:56,29245.020964493
2023-12-21 07:28:56,59552.73991428845
2023-12-21 07:29:56,96776.16985380634
2023-12-21 07:30:56,126910.1152467815
2023-12-21 07:31:56,150274.34416070447
2023-12-21 07:32:56,167664.434291813
2023-12-21 07:33:56,179166.52477972637
2023-12-21 07:34:56,188766.6284506833
2023-12-21 07:35:56,198607.67773670098
2023-12-21 07:36:56,208471.5916656987
2023-12-21 07:37:56,218189.535783817
2023-12-21 07:38:56,227800.77690964157
2023-12-21 07:39:56,237077.88821640922
2023-12-21 07:40:56,246277.01748725385
2023-12-21 07:41:56,255008.58263241142
2023-12-21 07:42:56,263520.24031553144
2023-12-21 07:43:56,271698.8936482242
2023-12-21 07:44:56,279593.9963243004
2023-12-21 07:45:56,287182.86077092215
2023-12-21 07:46:56,294458.13000954344
2023-12-21 07:47:56,301431.46533961344
2023-12-21 07:48:56,308083.2127495681
2023-12-21 07:49:56,314458.3473738705
2023-12-21 07:50:56,320498.1754542527
2023-12-21 07:51:56,326285.24271832727
2023-12-21 07:52:56,331691.81197748316
2023-12-21 07:53:56,336772.4310522284
2023-12-21 07:54:56,341524.97297350364
2023-12-21 07:55:56,345882.4918991724
2023-12-21 07:56:56,349976.9235397509
2023-12-21 07:57:56,353661.7822144126
2023-12-21 07:58:56,356981.87981533067
2023-12-21 07:59:56,359989.56491075887
2023-12-21 08:00:56,362592.10008544096
2023-12-21 08:01:56,364850.57278822706
2023-12-21 08:02:56,366830.40476764535
2023-12-21 08:03:56,368521.00294518075
2023-12-21 08:04:56,369975.23439018213
2023-12-21 08:05:56,371138.1163341412
2023-12-21 08:06:56,371986.40998922416
2023-12-21 08:07:56,372485.5865329657
2023-12-21 08:08:56,372702.6459403647
2023-12-21 08:09:56,372654.5496590282
2023-12-21 08:10:56,372575.60461247835
2023-12-21 08:11:56,372504.2820024032
2023-12-21 08:12:56,372428.059875298
2023-12-21 08:13:56,372368.0619921453
2023-12-21 08:14:56,372325.6471364362
2023-12-21 08:15:56,372285.0149035958
2023-12-21 08:16:56,372246.02997683303
2023-12-21 08:17:56,372208.60223882424
2023-12-21 08:18:56,372172.64015177207
2023-12-21 08:19:56,372138.02911828185
2023-12-21 08:20:56,372104.781417645
2023-12-21 08:21:56,372072.7342977696
2023-12-21 08:22:56,372041.8508981137
2023-12-21 08:23:56,372012.06600646063
2023-12-21 08:24:56,371983.33014614176
2023-12-21 08:25:56,371955.58144777495
2023-12-21 08:26:56,371928.7666468952
2023-12-21 08:27:56,371902.8545976087
