,"{container=""discovery""}"
2023-12-21 07:24:56,0.216662016
2023-12-21 07:25:56,2.026573824
2023-12-21 07:26:56,3.763372032
2023-12-21 07:27:56,6.913646592
2023-12-21 07:28:56,8.933953536
2023-12-21 07:29:56,10.530758656
2023-12-21 07:30:56,11.42994944
2023-12-21 07:31:56,12.53042176
2023-12-21 07:32:56,13.915131904
2023-12-21 07:33:56,14.43131392
2023-12-21 07:34:56,14.43131392
2023-12-21 07:35:56,14.43131392
2023-12-21 07:36:56,14.43131392
2023-12-21 07:37:56,14.43131392
2023-12-21 07:38:56,4.209238016
2023-12-21 07:39:56,5.297790976
2023-12-21 07:40:56,6.158221312
2023-12-21 07:41:56,7.192301568
2023-12-21 07:42:56,7.910699008
2023-12-21 07:43:56,8.928792576
2023-12-21 07:44:56,10.00777728
2023-12-21 07:45:56,10.668302336
2023-12-21 07:46:56,10.675728384
2023-12-21 07:47:56,10.678202368
2023-12-21 07:48:56,10.682601472
2023-12-21 07:49:56,10.697433088
2023-12-21 07:50:56,10.705362944
2023-12-21 07:51:56,10.704420864
2023-12-21 07:52:56,10.704195584
2023-12-21 07:53:56,10.704818176
2023-12-21 07:54:56,10.730975232
2023-12-21 07:55:56,10.732150784
2023-12-21 07:56:56,10.730901504
2023-12-21 07:57:56,10.731237376
2023-12-21 07:58:56,10.731880448
2023-12-21 07:59:56,10.748710912
2023-12-21 08:00:56,10.75175424
2023-12-21 08:01:56,10.760278016
2023-12-21 08:02:56,10.771165184
2023-12-21 08:03:56,10.886832128
2023-12-21 08:04:56,11.1069184
2023-12-21 08:05:56,11.553906688
2023-12-21 08:06:56,11.987587072
2023-12-21 08:07:56,12.787154944
2023-12-21 08:08:56,13.552754688
2023-12-21 08:09:56,14.223253504
2023-12-21 08:10:56,14.371405824
2023-12-21 08:11:56,15.352979456
2023-12-21 08:12:56,16.286752768
2023-12-21 08:13:56,16.433422336
2023-12-21 08:14:56,16.340631552
2023-12-21 08:15:56,16.356241408
2023-12-21 08:16:56,16.375791616
2023-12-21 08:17:56,16.390057984
2023-12-21 08:18:56,16.28131328
2023-12-21 08:19:56,16.292122624
2023-12-21 08:20:56,16.294756352
2023-12-21 08:21:56,16.297213952
2023-12-21 08:22:56,16.31102976
2023-12-21 08:23:56,16.384049152
2023-12-21 08:24:56,16.384319488
2023-12-21 08:25:56,16.384524288
2023-12-21 08:26:56,16.384217088
2023-12-21 08:27:56,16.384110592
