,"{container=""istio-proxy""}"
2023-12-21 07:25:56,0.058191872
2023-12-21 07:26:56,0.0595968
2023-12-21 07:27:56,0.060964864
2023-12-21 07:28:56,0.062464
2023-12-21 07:29:56,0.067710976
2023-12-21 07:30:56,0.0699392
2023-12-21 07:31:56,0.073900032
2023-12-21 07:32:56,0.073908224
2023-12-21 07:33:56,0.073920512
2023-12-21 07:34:56,0.150020096
2023-12-21 07:35:56,0.151568384
2023-12-21 07:36:56,0.157270016
2023-12-21 07:37:56,0.157138944
2023-12-21 07:38:56,0.152498176
2023-12-21 07:39:56,0.142471168
2023-12-21 07:40:56,0.144805888
2023-12-21 07:41:56,0.145006592
2023-12-21 07:42:56,0.141484032
2023-12-21 07:43:56,0.144949248
2023-12-21 07:44:56,0.14516224
2023-12-21 07:45:56,0.14522368
2023-12-21 07:46:56,0.145235968
2023-12-21 07:47:56,0.142184448
2023-12-21 07:48:56,0.145043456
2023-12-21 07:49:56,0.145047552
2023-12-21 07:50:56,0.142962688
2023-12-21 07:51:56,0.142954496
2023-12-21 07:52:56,0.14301184
2023-12-21 07:53:56,0.144703488
2023-12-21 07:54:56,0.148533248
2023-12-21 07:55:56,0.148697088
2023-12-21 07:56:56,0.14661632
2023-12-21 07:57:56,0.146726912
2023-12-21 07:58:56,0.144961536
2023-12-21 07:59:56,0.153755648
2023-12-21 08:00:56,0.153812992
2023-12-21 08:01:56,0.147509248
2023-12-21 08:02:56,0.148238336
2023-12-21 08:03:56,0.149262336
2023-12-21 08:04:56,0.149712896
2023-12-21 08:05:56,0.14804992
2023-12-21 08:06:56,0.14843904
2023-12-21 08:07:56,0.148123648
2023-12-21 08:08:56,0.148180992
2023-12-21 08:09:56,0.150601728
2023-12-21 08:10:56,0.154284032
2023-12-21 08:11:56,0.155779072
2023-12-21 08:12:56,0.155799552
2023-12-21 08:13:56,0.155635712
2023-12-21 08:14:56,0.15566848
2023-12-21 08:15:56,0.15552512
2023-12-21 08:16:56,0.152981504
2023-12-21 08:17:56,0.1562624
2023-12-21 08:18:56,0.1562624
2023-12-21 08:19:56,0.1572864
2023-12-21 08:20:56,0.157323264
2023-12-21 08:21:56,0.155324416
2023-12-21 08:22:56,0.15546368
2023-12-21 08:23:56,0.156995584
2023-12-21 08:24:56,0.156995584
2023-12-21 08:25:56,0.154476544
2023-12-21 08:26:56,0.154394624
2023-12-21 08:27:56,0.157732864
