,"{namespace=""cluster-loader""}","{namespace=""test-kxkpym-1""}"
2023-12-21 07:25:56,6.0,1322.0
2023-12-21 07:26:56,6.0,3750.0
2023-12-21 07:27:56,6.0,6276.0
2023-12-21 07:28:56,6.0,8858.0
2023-12-21 07:29:56,6.0,12478.0
2023-12-21 07:30:56,6.0,16358.0
2023-12-21 07:31:56,6.0,19306.0
2023-12-21 07:32:56,6.0,22256.0
2023-12-21 07:33:56,6.0,24788.0
2023-12-21 07:34:56,6.0,24802.0
2023-12-21 07:35:56,6.0,24858.0
2023-12-21 07:36:56,6.0,24928.0
2023-12-21 07:37:56,6.0,25030.0
2023-12-21 07:38:56,6.0,25138.0
2023-12-21 07:39:56,6.0,25272.0
2023-12-21 07:40:56,6.0,25424.0
2023-12-21 07:41:56,6.0,25588.0
2023-12-21 07:42:56,6.0,25734.0
2023-12-21 07:43:56,6.0,25916.0
2023-12-21 07:44:56,6.0,26052.0
2023-12-21 07:45:56,6.0,26234.0
2023-12-21 07:46:56,6.0,26402.0
2023-12-21 07:47:56,6.0,26534.0
2023-12-21 07:48:56,6.0,26688.0
2023-12-21 07:49:56,6.0,26854.0
2023-12-21 07:50:56,6.0,27000.0
2023-12-21 07:51:56,6.0,27182.0
2023-12-21 07:52:56,6.0,27332.0
2023-12-21 07:53:56,6.0,27494.0
2023-12-21 07:54:56,6.0,27688.0
2023-12-21 07:55:56,6.0,27836.0
2023-12-21 07:56:56,6.0,28024.0
2023-12-21 07:57:56,6.0,28204.0
2023-12-21 07:58:56,6.0,28384.0
2023-12-21 07:59:56,6.0,28550.0
2023-12-21 08:00:56,6.0,28754.0
2023-12-21 08:01:56,6.0,28904.0
2023-12-21 08:02:56,6.0,29042.0
2023-12-21 08:03:56,6.0,29176.0
2023-12-21 08:04:56,6.0,29306.0
2023-12-21 08:05:56,6.0,29458.0
2023-12-21 08:06:56,6.0,29634.0
2023-12-21 08:07:56,6.0,29784.0
2023-12-21 08:08:56,6.0,29948.0
2023-12-21 08:09:56,6.0,30000.0
2023-12-21 08:10:56,6.0,30000.0
2023-12-21 08:11:56,6.0,30000.0
2023-12-21 08:12:56,6.0,30000.0
2023-12-21 08:13:56,6.0,30000.0
2023-12-21 08:14:56,6.0,30000.0
2023-12-21 08:15:56,6.0,30000.0
2023-12-21 08:16:56,6.0,30000.0
2023-12-21 08:17:56,6.0,30000.0
2023-12-21 08:18:56,6.0,30000.0
2023-12-21 08:19:56,6.0,30000.0
2023-12-21 08:20:56,6.0,30000.0
2023-12-21 08:21:56,6.0,30000.0
2023-12-21 08:22:56,6.0,30000.0
2023-12-21 08:23:56,6.0,30000.0
2023-12-21 08:24:56,6.0,30000.0
2023-12-21 08:25:56,6.0,30000.0
2023-12-21 08:26:56,6.0,30000.0
2023-12-21 08:27:56,6.0,30000.0
