,"sidecar_injection_requests_total{app=""istiod"",install_operator_istio_io_owning_resource=""unknown"",instance=""10.241.40.90:15014"",istio=""istiod"",istio_io_rev=""asm-1-17"",job=""kubernetes-pods"",kubernetes_azure_com_managedby=""aks"",namespace=""aks-istio-system"",operator_istio_io_component=""Pilot"",pod=""istiod-asm-1-17-7c4b8c5cb-hfb89"",pod_template_hash=""7c4b8c5cb"",sidecar_istio_io_inject=""false""}"
2023-12-21 19:40:18,2171.0
2023-12-21 19:41:18,6312.0
2023-12-21 19:42:18,10503.0
2023-12-21 19:43:18,14372.0
2023-12-21 19:44:18,15013.0
2023-12-21 19:45:18,15013.0
2023-12-21 19:46:18,15013.0
2023-12-21 19:47:18,15013.0
2023-12-21 19:48:18,15013.0
2023-12-21 19:49:18,15013.0
2023-12-21 19:50:18,15013.0
2023-12-21 19:51:18,15013.0
2023-12-21 19:52:18,15013.0
2023-12-21 19:53:18,15013.0
2023-12-21 19:54:18,15197.0
2023-12-21 19:55:18,18769.0
2023-12-21 19:56:18,18769.0
2023-12-21 19:57:18,18769.0
2023-12-21 19:58:18,18769.0
2023-12-21 19:59:18,18769.0
2023-12-21 20:00:18,18769.0
2023-12-21 20:01:18,18769.0
2023-12-21 20:02:18,18769.0
2023-12-21 20:03:18,18769.0
2023-12-21 20:04:18,18769.0
2023-12-21 20:05:18,18769.0
2023-12-21 20:06:18,18769.0
2023-12-21 20:07:18,18769.0
2023-12-21 20:08:18,18769.0
2023-12-21 20:09:18,18769.0
2023-12-21 20:10:18,18769.0
2023-12-21 20:11:18,18769.0
2023-12-21 20:12:18,18769.0
2023-12-21 20:13:18,18769.0
