,"{namespace=""test-ryg4wg-1""}"
2023-12-21 19:40:18,177.79241534428522
2023-12-21 19:41:18,9242.268243612172
2023-12-21 19:42:18,29388.914101630908
2023-12-21 19:43:18,61756.505353977154
2023-12-21 19:44:18,100864.87838911098
2023-12-21 19:45:18,131678.30453630644
2023-12-21 19:46:18,155310.46915146877
2023-12-21 19:47:18,173036.24921399014
2023-12-21 19:48:18,184698.2808593435
2023-12-21 19:49:18,190663.74717451897
2023-12-21 19:50:18,191021.9388112303
2023-12-21 19:51:18,190149.3618095541
2023-12-21 19:52:18,189654.37320480344
2023-12-21 19:53:18,189475.4441194747
2023-12-21 19:54:18,189057.5260299949
2023-12-21 19:55:18,192511.14426115938
2023-12-21 19:56:18,203023.3856790522
2023-12-21 19:57:18,207939.62997456116
2023-12-21 19:58:18,208318.8688089304
2023-12-21 19:59:18,207840.23447869698
2023-12-21 20:00:18,207538.10615304104
2023-12-21 20:01:18,207326.69785804444
2023-12-21 20:02:18,207156.82170977548
2023-12-21 20:03:18,207018.67714405264
2023-12-21 20:04:18,206903.04247627186
2023-12-21 20:05:18,206804.15210304759
2023-12-21 20:06:18,206718.1777985141
2023-12-21 20:07:18,206642.45402687098
2023-12-21 20:08:18,206575.05286471386
2023-12-21 20:09:18,206514.53557464667
2023-12-21 20:10:18,206459.8003169016
2023-12-21 20:11:18,206409.98475606312
2023-12-21 20:12:18,206364.4013241568
2023-12-21 20:13:18,206322.49105308542
