,"{namespace=""cluster-loader""}","{namespace=""test-ryg4wg-1""}"
2023-12-21 19:40:18,10.941400000000002,1842.175798336237
2023-12-21 19:41:18,22.941399999999994,22046.184285486317
2023-12-21 19:42:18,34.9414,58098.20794452855
2023-12-21 19:43:18,46.941399999999994,110275.48121236428
2023-12-21 19:44:18,58.94140000000001,172156.99321506923
2023-12-21 19:45:18,70.94140000000002,232158.71425130923
2023-12-21 19:46:18,82.94140000000002,292158.39615573076
2023-12-21 19:47:18,94.9414,352158.33238372457
2023-12-21 19:48:18,106.94140000000002,412145.43214740534
2023-12-21 19:49:18,118.94126345942645,472158.64905187674
2023-12-21 19:50:18,130.9414,532158.7264191846
2023-12-21 19:51:18,142.94140000000002,592158.5704603965
2023-12-21 19:52:18,154.94140000000002,652157.7241079351
2023-12-21 19:53:18,166.9414,711488.3766007482
2023-12-21 19:54:18,178.9414,757329.6575675128
2023-12-21 19:55:18,190.94140000000002,811359.0358700922
2023-12-21 19:56:18,202.9414,872833.6338133512
2023-12-21 19:57:18,214.9414,932833.6630749244
2023-12-21 19:58:18,226.9414,992833.5419704723
2023-12-21 19:59:18,238.94140000000004,1052833.4926906058
2023-12-21 20:00:18,250.91619365934181,1112787.94657724
2023-12-21 20:01:18,262.9414,1172833.6632075515
2023-12-21 20:02:18,274.9414,1232833.6632073224
2023-12-21 20:03:18,286.9414,1292833.6631395551
2023-12-21 20:04:18,298.94140000000004,1352833.6632735617
2023-12-21 20:05:18,310.9414,1412833.662938505
2023-12-21 20:06:18,322.9414,1472833.6632729908
2023-12-21 20:07:18,334.9414,1532833.6631387528
2023-12-21 20:08:18,346.9414,1592832.65509868
2023-12-21 20:09:18,358.9414,1652833.6632053491
2023-12-21 20:10:18,370.94140000000004,1712833.663138528
2023-12-21 20:11:18,382.94140000000004,1772833.6632719128
2023-12-21 20:12:18,394.9414,1832833.6628027945
2023-12-21 20:13:18,406.178,1892833.6357576079
