,"{namespace=""cluster-loader""}","{namespace=""test-ryg4wg-1""}"
2023-12-21 19:40:18,6.0,1272.0
2023-12-21 19:41:18,6.0,3816.0
2023-12-21 19:42:18,6.0,6216.0
2023-12-21 19:43:18,6.0,8658.0
2023-12-21 19:44:18,6.0,11952.0
2023-12-21 19:45:18,6.0,16284.0
2023-12-21 19:46:18,6.0,19186.0
2023-12-21 19:47:18,6.0,22098.0
2023-12-21 19:48:18,6.0,25034.0
2023-12-21 19:49:18,6.0,27920.0
2023-12-21 19:50:18,6.0,30000.0
2023-12-21 19:51:18,6.0,30000.0
2023-12-21 19:52:18,6.0,30000.0
2023-12-21 19:53:18,6.0,27860.0
2023-12-21 19:54:18,6.0,22500.0
2023-12-21 19:55:18,6.0,23852.0
2023-12-21 19:56:18,6.0,26032.0
2023-12-21 19:57:18,6.0,28376.0
2023-12-21 19:58:18,6.0,30000.0
2023-12-21 19:59:18,6.0,30000.0
2023-12-21 20:00:18,6.0,30000.0
2023-12-21 20:01:18,6.0,30000.0
2023-12-21 20:02:18,6.0,30000.0
2023-12-21 20:03:18,6.0,30000.0
2023-12-21 20:04:18,6.0,30000.0
2023-12-21 20:05:18,6.0,30000.0
2023-12-21 20:06:18,6.0,30000.0
2023-12-21 20:07:18,6.0,30000.0
2023-12-21 20:08:18,6.0,30000.0
2023-12-21 20:09:18,6.0,30000.0
2023-12-21 20:10:18,6.0,30000.0
2023-12-21 20:11:18,6.0,30000.0
2023-12-21 20:12:18,6.0,30000.0
2023-12-21 20:13:18,4.0,30000.0
