,"{namespace=""cluster-loader""}","{namespace=""test-ryg4wg-1""}"
2023-12-21 19:40:18,211.0,24250.0
2023-12-21 19:41:18,228.0,65927.0
2023-12-21 19:42:18,239.0,117977.0
2023-12-21 19:43:18,243.0,180059.0
2023-12-21 19:44:18,243.0,235270.0
2023-12-21 19:45:18,251.0,280297.0
2023-12-21 19:46:18,251.0,317056.0
2023-12-21 19:47:18,251.0,347522.0
2023-12-21 19:48:18,255.0,371980.0
2023-12-21 19:49:18,255.0,390366.0
2023-12-21 19:50:18,255.0,401628.0
2023-12-21 19:51:18,255.0,407872.0
2023-12-21 19:52:18,255.0,411675.0
2023-12-21 19:53:18,257.0,375350.0
2023-12-21 19:54:18,257.0,290274.0
2023-12-21 19:55:18,257.0,315430.0
2023-12-21 19:56:18,257.0,330471.0
2023-12-21 19:57:18,257.0,338601.0
2023-12-21 19:58:18,257.0,343234.0
2023-12-21 19:59:18,257.0,344834.0
2023-12-21 20:00:18,258.0,346421.0
2023-12-21 20:01:18,258.0,348107.0
2023-12-21 20:02:18,258.0,349771.0
2023-12-21 20:03:18,258.0,351376.0
2023-12-21 20:04:18,258.0,353016.0
2023-12-21 20:05:18,260.0,354656.0
2023-12-21 20:06:18,260.0,356259.0
2023-12-21 20:07:18,260.0,357605.0
2023-12-21 20:08:18,268.0,360276.0
2023-12-21 20:09:18,268.0,364382.0
2023-12-21 20:10:18,268.0,370304.0
2023-12-21 20:11:18,273.0,377628.0
2023-12-21 20:12:18,281.0,385841.0
2023-12-21 20:13:18,190.0,395317.0
