,{}
2023-12-21 04:18:29,0.0
2023-12-21 04:19:29,0.0
2023-12-21 04:20:29,0.0
2023-12-21 04:21:29,0.0
2023-12-21 04:22:29,0.0
2023-12-21 04:23:29,0.0
2023-12-21 04:24:29,0.0
2023-12-21 04:25:29,0.0
2023-12-21 04:26:29,0.0
2023-12-21 04:27:29,0.0
2023-12-21 04:28:29,0.0
2023-12-21 04:29:29,0.0
2023-12-21 04:30:29,0.0
2023-12-21 04:31:29,0.0
2023-12-21 04:32:29,0.0
2023-12-21 04:33:29,0.0
2023-12-21 04:34:29,0.0
2023-12-21 04:35:29,0.0
2023-12-21 04:36:29,0.0
2023-12-21 04:37:29,0.0
2023-12-21 04:38:29,0.0
2023-12-21 04:39:29,0.0
2023-12-21 04:40:29,0.0
2023-12-21 04:41:29,4696.7291213811595
2023-12-21 04:42:29,94903.18963696524
2023-12-21 04:43:29,177545.45608686548
2023-12-21 04:44:29,254953.05587332355
2023-12-21 04:45:29,334181.878464374
2023-12-21 04:46:29,409682.16340545734
2023-12-21 04:47:29,479846.697604847
2023-12-21 04:48:29,543801.4238125082
2023-12-21 04:49:29,601605.9953035926
2023-12-21 04:50:29,654164.5597790276
2023-12-21 04:51:29,700731.8489444897
2023-12-21 04:52:29,741384.3956713722
2023-12-21 04:53:29,776232.7230518119
2023-12-21 04:54:29,805263.5319744989
