,"sidecar_injection_requests_total{app=""istiod"",install_operator_istio_io_owning_resource=""unknown"",instance=""10.241.128.62:15014"",istio=""istiod"",istio_io_rev=""asm-1-17"",job=""kubernetes-pods"",kubernetes_azure_com_managedby=""aks"",namespace=""aks-istio-system"",operator_istio_io_component=""Pilot"",pod=""istiod-asm-1-17-784f774f57-l6rfr"",pod_template_hash=""784f774f57"",sidecar_istio_io_inject=""false""}"
2023-12-21 04:18:29,2503.0
2023-12-21 04:19:29,7321.0
2023-12-21 04:20:29,12011.0
2023-12-21 04:21:29,15864.0
2023-12-21 04:22:29,19276.0
2023-12-21 04:23:29,22114.0
2023-12-21 04:24:29,24284.0
2023-12-21 04:25:29,25032.0
2023-12-21 04:26:29,25032.0
2023-12-21 04:27:29,25032.0
2023-12-21 04:28:29,25032.0
2023-12-21 04:29:29,25032.0
2023-12-21 04:30:29,25032.0
2023-12-21 04:31:29,25032.0
2023-12-21 04:32:29,25032.0
2023-12-21 04:33:29,25032.0
2023-12-21 04:34:29,25032.0
2023-12-21 04:35:29,25032.0
2023-12-21 04:36:29,25032.0
2023-12-21 04:37:29,25032.0
2023-12-21 04:38:29,25032.0
2023-12-21 04:39:29,25032.0
2023-12-21 04:40:29,25032.0
2023-12-21 04:41:29,25032.0
