,{}
2023-12-21 04:18:29,1772.0
2023-12-21 04:19:29,5960.0
2023-12-21 04:20:29,10849.0
2023-12-21 04:21:29,14812.0
2023-12-21 04:22:29,18300.0
2023-12-21 04:23:29,21023.0
2023-12-21 04:24:29,23411.0
2023-12-21 04:25:29,24911.0
2023-12-21 04:26:29,24883.0
2023-12-21 04:27:29,25003.0
2023-12-21 04:28:29,25003.0
2023-12-21 04:29:29,25003.0
2023-12-21 04:30:29,24992.0
2023-12-21 04:31:29,24945.0
2023-12-21 04:32:29,24850.0
2023-12-21 04:33:29,24882.0
2023-12-21 04:34:29,24929.0
2023-12-21 04:35:29,24728.0
2023-12-21 04:36:29,24494.0
2023-12-21 04:37:29,24583.0
2023-12-21 04:38:29,24536.0
2023-12-21 04:39:29,24408.0
2023-12-21 04:40:29,24570.0
2023-12-21 04:41:29,24653.0
2023-12-21 04:42:29,24387.0
2023-12-21 04:43:29,24572.0
2023-12-21 04:44:29,24564.0
2023-12-21 04:45:29,24523.0
2023-12-21 04:46:29,24491.0
2023-12-21 04:47:29,24412.0
2023-12-21 04:48:29,24469.0
2023-12-21 04:49:29,24502.0
2023-12-21 04:50:29,24445.0
2023-12-21 04:51:29,24538.0
2023-12-21 04:52:29,24355.0
2023-12-21 04:53:29,24385.0
2023-12-21 04:54:29,24739.0
