,"{namespace=""test-klig0u-1""}"
2023-12-21 04:18:29,203.88761841336378
2023-12-21 04:19:29,8632.691789189605
2023-12-21 04:20:29,32298.783310789004
2023-12-21 04:21:29,71252.17085630688
2023-12-21 04:22:29,124191.54877718717
2023-12-21 04:23:29,187905.91742172875
2023-12-21 04:24:29,259872.43344966887
2023-12-21 04:25:29,338049.4167331142
2023-12-21 04:26:29,410199.1860283005
2023-12-21 04:27:29,470206.7686213409
2023-12-21 04:28:29,519227.4933610455
2023-12-21 04:29:29,555961.0908989358
2023-12-21 04:30:29,582463.5256928605
2023-12-21 04:31:29,603346.5141058514
2023-12-21 04:32:29,618600.9935336965
2023-12-21 04:33:29,628387.1620494159
2023-12-21 04:34:29,632471.459407775
2023-12-21 04:35:29,631665.7247030241
2023-12-21 04:36:29,630519.7766515187
2023-12-21 04:37:29,629865.5805082346
2023-12-21 04:38:29,629282.6135115785
2023-12-21 04:39:29,628775.9679758826
2023-12-21 04:40:29,628325.7517036096
2023-12-21 04:41:29,627903.5365677458
2023-12-21 04:42:29,627533.3020933502
2023-12-21 04:43:29,627197.0530714232
2023-12-21 04:44:29,626888.4006051234
2023-12-21 04:45:29,626603.2941426169
2023-12-21 04:46:29,626344.8770398339
2023-12-21 04:47:29,626103.0026246347
2023-12-21 04:48:29,625884.4669711877
2023-12-21 04:49:29,625668.1155478121
2023-12-21 04:50:29,625477.0672502876
2023-12-21 04:51:29,625304.378817611
2023-12-21 04:52:29,625139.6149800699
2023-12-21 04:53:29,624970.7718193973
2023-12-21 04:54:29,624829.5936275916
